Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19950101  0:00,2.97,-9999,2.19,-9999
19950101  0:15,-9999,2.97,-9999,2.19
19950101  0:30,-9999,2.97,-9999,2.19
19950101  0:45,-9999,2.97,-9999,2.19
19950101  1:00,2.98,-9999,2.3,-9999
19950101  1:15,-9999,2.98,-9999,2.3
19950101  1:30,-9999,2.98,-9999,2.3
19950101  1:45,-9999,2.98,-9999,2.3
19950101  2:00,2.99,-9999,2.41,-9999
19950101  2:15,-9999,2.99,-9999,2.41
19950101  2:30,-9999,2.99,-9999,2.41
19950101  2:45,-9999,2.99,-9999,2.41
19950101  3:00,3.01,-9999,2.66,-9999
19950101  3:15,-9999,3.01,-9999,2.66
19950101  3:30,-9999,3.01,-9999,2.66
19950101  3:45,-9999,3.01,-9999,2.66
19950101  4:00,3.02,-9999,2.79,-9999
19950101  4:15,-9999,3.02,-9999,2.79
19950101  4:30,-9999,3.02,-9999,2.79
19950101  4:45,-9999,3.02,-9999,2.79
19950101  5:00,3.03,-9999,2.93,-9999
19950101  5:15,-9999,3.03,-9999,2.93
19950101  5:30,-9999,3.03,-9999,2.93
19950101  5:45,-9999,3.03,-9999,2.93
19950101  6:00,-9999,3.03,-9999,2.93
19950101  6:15,-9999,3.03,-9999,2.93
19950101  6:30,-9999,3.03,-9999,2.93
19950101  6:45,-9999,3.03,-9999,2.93
19950101  7:00,-9999,3.03,-9999,2.93
19950101  7:15,-9999,3.03,-9999,2.93
19950101  7:30,-9999,3.03,-9999,2.93
19950101  7:45,-9999,3.03,-9999,2.93
19950101  8:00,3.02,-9999,2.79,-9999
19950101  8:15,-9999,3.02,-9999,2.79
19950101  8:30,-9999,3.02,-9999,2.79
19950101  8:45,-9999,3.02,-9999,2.79
19950101  9:00,3.01,-9999,2.66,-9999
19950101  9:15,-9999,3.01,-9999,2.66
19950101  9:30,-9999,3.01,-9999,2.66
19950101  9:45,-9999,3.01,-9999,2.66
19950101 10:00,-9999,3.01,-9999,2.66
19950101 10:15,-9999,3.01,-9999,2.66
19950101 10:30,-9999,3.01,-9999,2.66
19950101 10:45,-9999,3.01,-9999,2.66
19950101 11:00,3,-9999,2.53,-9999
19950101 11:15,-9999,3,-9999,2.53
19950101 11:30,-9999,3,-9999,2.53
19950101 11:45,-9999,3,-9999,2.53
19950101 12:00,2.99,-9999,2.41,-9999
19950101 12:15,-9999,2.99,-9999,2.41
19950101 12:30,-9999,2.99,-9999,2.41
19950101 12:45,-9999,2.99,-9999,2.41
19950101 13:00,-9999,2.99,-9999,2.41
19950101 13:15,-9999,2.99,-9999,2.41
19950101 13:30,-9999,2.99,-9999,2.41
19950101 13:45,-9999,2.99,-9999,2.41
19950101 14:00,2.98,-9999,2.3,-9999
19950101 14:15,-9999,2.98,-9999,2.3
19950101 14:30,-9999,2.98,-9999,2.3
