Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20020101  0:00,3.048,-9999,1.38,-9999
20020101  0:15,3.048,-9999,1.38,-9999
20020101  0:30,3.048,-9999,1.38,-9999
20020101  0:45,3.048,-9999,1.38,-9999
20020101  1:00,3.048,-9999,1.38,-9999
20020101  1:15,3.051,-9999,1.41,-9999
20020101  1:30,3.051,-9999,1.41,-9999
20020101  1:45,3.051,-9999,1.41,-9999
20020101  2:00,3.053,-9999,1.43,-9999
20020101  2:15,3.053,-9999,1.43,-9999
20020101  2:30,3.051,-9999,1.41,-9999
20020101  2:45,3.051,-9999,1.41,-9999
20020101  3:00,3.051,-9999,1.41,-9999
20020101  3:15,3.051,-9999,1.41,-9999
20020101  3:30,3.048,-9999,1.38,-9999
20020101  3:45,3.048,-9999,1.38,-9999
20020101  4:00,3.048,-9999,1.38,-9999
20020101  4:15,3.048,-9999,1.38,-9999
20020101  4:30,3.048,-9999,1.38,-9999
20020101  4:45,3.048,-9999,1.38,-9999
20020101  5:00,3.048,-9999,1.38,-9999
20020101  5:15,3.048,-9999,1.38,-9999
20020101  5:30,3.048,-9999,1.38,-9999
20020101  5:45,3.048,-9999,1.38,-9999
20020101  6:00,3.048,-9999,1.38,-9999
20020101  6:15,3.048,-9999,1.38,-9999
20020101  6:30,3.048,-9999,1.38,-9999
20020101  6:45,3.05,-9999,1.4,-9999
20020101  7:00,3.05,-9999,1.4,-9999
20020101  7:15,3.053,-9999,1.43,-9999
20020101  7:30,3.053,-9999,1.43,-9999
20020101  7:45,3.053,-9999,1.43,-9999
20020101  8:00,3.056,-9999,1.46,-9999
20020101  8:15,3.056,-9999,1.46,-9999
20020101  8:30,3.056,-9999,1.46,-9999
20020101  8:45,3.06,-9999,1.49,-9999
20020101  9:00,3.056,-9999,1.46,-9999
20020101  9:15,3.056,-9999,1.46,-9999
20020101  9:30,3.056,-9999,1.46,-9999
20020101  9:45,3.056,-9999,1.46,-9999
20020101 10:00,3.053,-9999,1.43,-9999
20020101 10:15,3.053,-9999,1.43,-9999
20020101 10:30,3.05,-9999,1.4,-9999
20020101 10:45,3.048,-9999,1.38,-9999
20020101 11:00,3.045,-9999,1.35,-9999
20020101 11:15,3.045,-9999,1.35,-9999
