Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20060102  8:30,3.169,-9999,2.63,-9999
20060102  8:45,3.169,-9999,2.63,-9999
20060102  9:00,3.169,-9999,2.63,-9999
20060102  9:15,3.169,-9999,2.63,-9999
20060102  9:30,3.167,-9999,2.59,-9999
20060102  9:45,3.169,-9999,2.63,-9999
20060102 10:00,3.167,-9999,2.59,-9999
20060102 10:15,3.169,-9999,2.63,-9999
20060102 10:30,3.167,-9999,2.59,-9999
20060102 10:45,3.167,-9999,2.59,-9999
20060102 11:00,3.169,-9999,2.63,-9999
20060102 11:15,3.169,-9999,2.63,-9999
20060102 11:30,3.173,-9999,2.69,-9999
20060102 11:45,3.173,-9999,2.69,-9999
20060102 12:00,3.173,-9999,2.69,-9999
20060102 12:15,3.169,-9999,2.63,-9999
20060102 12:30,3.173,-9999,2.69,-9999
20060102 12:45,3.175,-9999,2.73,-9999
20060102 13:00,3.175,-9999,2.73,-9999
20060102 13:15,3.186,-9999,2.95,-9999
20060102 13:30,3.19,-9999,3.02,-9999
20060102 13:45,3.198,-9999,3.19,-9999
20060102 14:00,3.204,-9999,3.31,-9999
20060102 14:15,3.215,-9999,3.58,-9999
20060102 14:30,3.23,-9999,3.96,-9999
20060102 14:45,3.244,-9999,4.34,-9999
20060102 15:00,3.261,-9999,4.87,-9999
20060102 15:15,3.276,-9999,5.39,-9999
20060102 15:30,3.296,-9999,6.14,-9999
20060102 15:45,3.313,-9999,6.89,-9999
20060102 16:00,3.331,-9999,7.74,-9999
20060102 16:15,3.346,-9999,8.55,-9999
20060102 16:30,3.357,-9999,9.24,-9999
20060102 16:45,3.379,-9999,10.69,-9999
20060102 17:00,3.394,-9999,11.82,-9999
20060102 17:15,3.408,-9999,12.96,-9999
20060102 17:30,3.432,-9999,15.24,-9999
20060102 17:45,3.435,-9999,15.48,-9999
20060102 18:00,3.45,-9999,17.11,-9999
20060102 18:15,3.458,-9999,18.06,-9999
20060102 18:30,3.473,-9999,19.96,-9999
20060102 18:45,3.484,-9999,21.56,-9999
20060102 19:00,3.507,-9999,25.15,-9999
20060102 19:15,3.481,-9999,21.07,-9999
20060102 19:30,3.484,-9999,21.56,-9999
20060102 19:45,3.469,-9999,19.51,-9999
20060102 20:00,3.479,-9999,20.75,-9999
20060102 20:15,3.475,-9999,20.27,-9999
20060102 20:30,3.464,-9999,18.77,-9999
20060102 20:45,3.464,-9999,18.77,-9999
20060102 21:00,3.466,-9999,19.06,-9999
20060102 21:15,3.458,-9999,18.06,-9999
20060102 21:30,3.475,-9999,20.27,-9999
20060102 21:45,3.479,-9999,20.75,-9999
20060102 22:00,3.479,-9999,20.75,-9999
20060102 22:15,3.473,-9999,19.97,-9999
20060102 22:30,3.479,-9999,20.75,-9999
20060102 22:45,3.475,-9999,20.28,-9999
20060102 23:00,3.487,-9999,21.9,-9999
20060102 23:15,3.498,-9999,23.66,-9999
20060102 23:30,3.504,-9999,24.58,-9999
20060102 23:45,3.513,-9999,26.15,-9999
20060103  0:00,3.521,-9999,27.6,-9999
20060103  0:15,3.536,-9999,30.51,-9999
20060103  0:30,3.539,-9999,30.98,-9999
20060103  0:45,3.53,-9999,29.35,-9999
20060103  1:00,3.571,-9999,38.44,-9999
20060103  1:15,3.571,-9999,38.44,-9999
20060103  1:30,3.594,-9999,44.85,-9999
20060103  1:45,3.61,-9999,47.69,-9999
20060103  2:00,3.646,-9999,51.32,-9999
20060103  2:15,3.666,-9999,53.39,-9999
20060103  2:30,3.677,-9999,54.63,-9999
20060103  2:45,3.648,-9999,51.56,-9999
20060103  3:00,3.654,-9999,52.17,-9999
20060103  3:15,3.639,-9999,50.61,-9999
20060103  3:30,3.639,-9999,50.61,-9999
20060103  3:45,3.646,-9999,51.32,-9999
20060103  4:00,3.61,-9999,47.69,-9999
20060103  4:15,3.614,-9999,48.03,-9999
20060103  4:30,3.596,-9999,45.72,-9999
20060103  4:45,3.565,-9999,38.3,-9999
20060103  5:00,3.559,-9999,37.06,-9999
20060103  5:15,3.519,-9999,29.46,-9999
20060103  5:30,3.519,-9999,29.46,-9999
20060103  5:45,3.473,-9999,22.66,-9999
20060103  6:00,3.452,-9999,20.14,-9999
20060103  6:15,3.437,-9999,18.49,-9999
20060103  6:30,3.444,-9999,19.24,-9999
20060103  6:45,3.427,-9999,17.43,-9999
20060103  7:00,3.415,-9999,16.33,-9999
20060103  7:15,3.408,-9999,15.7,-9999
20060103  7:30,3.398,-9999,14.8,-9999
20060103  7:45,3.389,-9999,14.04,-9999
20060103  8:00,3.386,-9999,13.86,-9999
20060103  8:15,3.383,-9999,13.59,-9999
20060103  8:30,3.377,-9999,13.15,-9999
20060103  8:45,3.375,-9999,12.98,-9999
20060103  9:00,3.36,-9999,11.92,-9999
20060103  9:15,3.354,-9999,11.53,-9999
20060103  9:30,3.354,-9999,11.53,-9999
20060103  9:45,3.343,-9999,10.8,-9999
20060103 10:00,3.343,-9999,10.8,-9999
20060103 10:15,3.334,-9999,10.32,-9999
20060103 10:30,3.331,-9999,10.12,-9999
20060103 10:45,3.331,-9999,10.12,-9999
20060103 11:00,3.322,-9999,9.6,-9999
20060103 11:15,3.325,-9999,9.79,-9999
20060103 11:30,3.322,-9999,9.6,-9999
20060103 11:45,3.317,-9999,9.35,-9999
20060103 12:00,3.308,-9999,8.87,-9999
20060103 12:15,3.314,-9999,9.17,-9999
20060103 12:30,3.302,-9999,8.59,-9999
20060103 12:45,3.302,-9999,8.59,-9999
20060103 13:00,3.302,-9999,8.59,-9999
20060103 13:15,3.302,-9999,8.59,-9999
20060103 13:30,3.302,-9999,8.59,-9999
20060103 13:45,3.296,-9999,8.31,-9999
20060103 14:00,3.293,-9999,8.15,-9999
20060103 14:15,3.293,-9999,8.15,-9999
20060103 14:30,3.291,-9999,8.04,-9999
20060103 14:45,3.288,-9999,7.94,-9999
20060103 15:00,3.285,-9999,7.78,-9999
20060103 15:15,3.283,-9999,7.68,-9999
20060103 15:30,3.283,-9999,7.68,-9999
20060103 15:45,3.283,-9999,7.68,-9999
20060103 16:00,3.279,-9999,7.53,-9999
20060103 16:15,3.283,-9999,7.68,-9999
20060103 16:30,3.279,-9999,7.53,-9999
20060103 16:45,3.277,-9999,7.44,-9999
20060103 17:00,3.277,-9999,7.44,-9999
20060103 17:15,3.277,-9999,7.44,-9999
20060103 17:30,3.273,-9999,7.29,-9999
20060103 17:45,3.273,-9999,7.29,-9999
20060103 18:00,3.273,-9999,7.29,-9999
20060103 18:15,3.273,-9999,7.29,-9999
20060103 18:30,3.273,-9999,7.29,-9999
20060103 18:45,3.268,-9999,7.06,-9999
20060103 19:00,3.264,-9999,6.92,-9999
20060103 19:15,3.268,-9999,7.06,-9999
20060103 19:30,3.271,-9999,7.2,-9999
20060103 19:45,3.264,-9999,6.92,-9999
20060103 20:00,3.264,-9999,6.92,-9999
20060103 20:15,3.264,-9999,6.92,-9999
20060103 20:30,3.26,-9999,6.74,-9999
20060103 20:45,3.26,-9999,6.74,-9999
20060103 21:00,3.26,-9999,6.74,-9999
20060103 21:15,3.262,-9999,6.83,-9999
20060103 21:30,3.26,-9999,6.74,-9999
20060103 21:45,3.26,-9999,6.74,-9999
20060103 22:00,3.256,-9999,6.61,-9999
20060103 22:15,3.256,-9999,6.61,-9999
20060103 22:30,3.256,-9999,6.61,-9999
20060103 22:45,3.26,-9999,6.74,-9999
20060103 23:00,3.254,-9999,6.52,-9999
20060103 23:15,3.254,-9999,6.52,-9999
20060103 23:30,3.248,-9999,6.31,-9999
20060103 23:45,3.254,-9999,6.53,-9999
20060104  0:00,3.248,-9999,6.31,-9999
20060104  0:15,3.254,-9999,6.53,-9999
20060104  0:30,3.25,-9999,6.4,-9999
20060104  0:45,3.25,-9999,6.4,-9999
20060104  1:00,3.248,-9999,6.32,-9999
20060104  1:15,3.248,-9999,6.32,-9999
20060104  1:30,3.245,-9999,6.19,-9999
20060104  1:45,3.248,-9999,6.32,-9999
20060104  2:00,3.248,-9999,6.32,-9999
20060104  2:15,3.245,-9999,6.19,-9999
20060104  2:30,3.245,-9999,6.19,-9999
20060104  2:45,3.242,-9999,6.11,-9999
20060104  3:00,3.242,-9999,6.11,-9999
20060104  3:15,3.245,-9999,6.19,-9999
20060104  3:30,3.242,-9999,6.11,-9999
20060104  3:45,3.242,-9999,6.11,-9999
20060104  4:00,3.242,-9999,6.11,-9999
20060104  4:15,3.242,-9999,6.11,-9999
20060104  4:30,3.239,-9999,5.99,-9999
20060104  4:45,3.239,-9999,5.99,-9999
20060104  5:00,3.239,-9999,5.99,-9999
20060104  5:15,3.235,-9999,5.88,-9999
20060104  5:30,3.235,-9999,5.88,-9999
20060104  5:45,3.235,-9999,5.88,-9999
20060104  6:00,3.239,-9999,5.99,-9999
20060104  6:15,3.235,-9999,5.88,-9999
20060104  6:30,3.239,-9999,5.99,-9999
20060104  6:45,3.235,-9999,5.88,-9999
20060104  7:00,3.235,-9999,5.88,-9999
20060104  7:15,3.235,-9999,5.88,-9999
20060104  7:30,3.233,-9999,5.8,-9999
20060104  7:45,3.235,-9999,5.88,-9999
20060104  8:00,3.235,-9999,5.88,-9999
20060104  8:15,3.233,-9999,5.8,-9999
20060104  8:30,3.233,-9999,5.8,-9999
20060104  8:45,3.233,-9999,5.8,-9999
20060104  9:00,3.233,-9999,5.8,-9999
20060104  9:15,3.231,-9999,5.73,-9999
20060104  9:30,3.231,-9999,5.73,-9999
20060104  9:45,3.231,-9999,5.73,-9999
20060104 10:00,3.227,-9999,5.62,-9999
20060104 10:15,3.231,-9999,5.73,-9999
20060104 10:30,3.231,-9999,5.73,-9999
20060104 10:45,3.227,-9999,5.62,-9999
20060104 11:00,3.231,-9999,5.73,-9999
20060104 11:15,3.233,-9999,5.8,-9999
20060104 11:30,3.227,-9999,5.62,-9999
20060104 11:45,3.231,-9999,5.73,-9999
20060104 12:00,3.227,-9999,5.62,-9999
20060104 12:15,3.231,-9999,5.73,-9999
20060104 12:30,3.231,-9999,5.73,-9999
20060104 12:45,3.227,-9999,5.62,-9999
20060104 13:00,3.231,-9999,5.73,-9999
20060104 13:15,3.227,-9999,5.62,-9999
20060104 13:30,3.225,-9999,5.54,-9999
20060104 13:45,3.227,-9999,5.62,-9999
20060104 14:00,3.227,-9999,5.62,-9999
20060104 14:15,3.227,-9999,5.62,-9999
20060104 14:30,3.227,-9999,5.62,-9999
20060104 14:45,3.225,-9999,5.54,-9999
20060104 15:00,3.227,-9999,5.62,-9999
20060104 15:15,3.227,-9999,5.62,-9999
20060104 15:30,3.227,-9999,5.62,-9999
20060104 15:45,3.225,-9999,5.54,-9999
20060104 16:00,3.231,-9999,5.73,-9999
20060104 16:15,3.222,-9999,5.44,-9999
20060104 16:30,3.228,-9999,5.62,-9999
20060104 16:45,3.222,-9999,5.44,-9999
20060104 17:00,3.225,-9999,5.55,-9999
20060104 17:15,3.225,-9999,5.55,-9999
20060104 17:30,3.225,-9999,5.55,-9999
20060104 17:45,3.228,-9999,5.62,-9999
20060104 18:00,3.222,-9999,5.44,-9999
20060104 18:15,3.225,-9999,5.55,-9999
20060104 18:30,3.225,-9999,5.55,-9999
20060104 18:45,3.225,-9999,5.55,-9999
20060104 19:00,3.219,-9999,5.37,-9999
20060104 19:15,3.225,-9999,5.55,-9999
20060104 19:30,3.222,-9999,5.44,-9999
20060104 19:45,3.222,-9999,5.44,-9999
20060104 20:00,3.222,-9999,5.44,-9999
20060104 20:15,3.222,-9999,5.44,-9999
20060104 20:30,3.222,-9999,5.44,-9999
20060104 20:45,3.219,-9999,5.37,-9999
20060104 21:00,3.222,-9999,5.44,-9999
20060104 21:15,3.222,-9999,5.44,-9999
20060104 21:30,3.219,-9999,5.37,-9999
20060104 21:45,3.22,-9999,5.37,-9999
20060104 22:00,3.22,-9999,5.37,-9999
20060104 22:15,3.225,-9999,5.55,-9999
20060104 22:30,3.216,-9999,5.26,-9999
20060104 22:45,3.216,-9999,5.26,-9999
20060104 23:00,3.22,-9999,5.37,-9999
20060104 23:15,3.22,-9999,5.37,-9999
20060104 23:30,3.22,-9999,5.37,-9999
20060104 23:45,3.22,-9999,5.37,-9999
20060105  0:00,3.22,-9999,5.37,-9999
