\data
WCCLABTEMP ,20080101  0:00 ,4.58
WCCLABTEMP ,20080101  0:15 ,4.53
WCCLABTEMP ,20080101  0:30 ,4.48
WCCLABTEMP ,20080101  0:45 ,4.43
WCCLABTEMP ,20080101  1:00 ,4.4
WCCLABTEMP ,20080101  1:15 ,4.35
WCCLABTEMP ,20080101  1:30 ,4.3
WCCLABTEMP ,20080101  1:45 ,4.27
WCCLABTEMP ,20080101  2:00 ,4.22
WCCLABTEMP ,20080101  2:15 ,4.17
WCCLABTEMP ,20080101  2:30 ,4.14
WCCLABTEMP ,20080101  2:45 ,4.12
WCCLABTEMP ,20080101  3:00 ,4.09
WCCLABTEMP ,20080101  3:15 ,4.06
WCCLABTEMP ,20080101  3:30 ,4.04
WCCLABTEMP ,20080101  3:45 ,4.06
WCCLABTEMP ,20080101  4:00 ,4.09
WCCLABTEMP ,20080101  4:15 ,4.14
WCCLABTEMP ,20080101  4:30 ,4.17
WCCLABTEMP ,20080101  4:45 ,4.22
WCCLABTEMP ,20080101  5:00 ,4.27
WCCLABTEMP ,20080101  5:15 ,4.3
WCCLABTEMP ,20080101  5:30 ,4.32
WCCLABTEMP ,20080101  5:45 ,4.38
WCCLABTEMP ,20080101  6:00 ,4.43
WCCLABTEMP ,20080101  6:15 ,4.48
WCCLABTEMP ,20080101  6:30 ,4.53
WCCLABTEMP ,20080101  6:45 ,4.56
WCCLABTEMP ,20080101  7:00 ,4.58
WCCLABTEMP ,20080101  7:15 ,4.64
WCCLABTEMP ,20080101  7:30 ,4.66
WCCLABTEMP ,20080101  7:45 ,4.69
WCCLABTEMP ,20080101  8:00 ,4.71
WCCLABTEMP ,20080101  8:15 ,4.77
WCCLABTEMP ,20080101  8:30 ,4.79
WCCLABTEMP ,20080101  8:45 ,4.84
WCCLABTEMP ,20080101  9:00 ,4.9
WCCLABTEMP ,20080101  9:15 ,4.95
WCCLABTEMP ,20080101  9:30 ,5
WCCLABTEMP ,20080101  9:45 ,5.08
WCCLABTEMP ,20080101 10:00 ,5.18
WCCLABTEMP ,20080101 10:15 ,5.28
WCCLABTEMP ,20080101 10:30 ,5.41
WCCLABTEMP ,20080101 10:45 ,5.57
WCCLABTEMP ,20080101 11:00 ,5.72
WCCLABTEMP ,20080101 11:15 ,5.85
WCCLABTEMP ,20080101 11:30 ,6.03
WCCLABTEMP ,20080101 11:45 ,6.1
WCCLABTEMP ,20080101 12:00 ,6.18
WCCLABTEMP ,20080101 12:15 ,6.38
WCCLABTEMP ,20080101 12:30 ,6.54
WCCLABTEMP ,20080101 12:45 ,6.59
WCCLABTEMP ,20080101 13:00 ,6.69
WCCLABTEMP ,20080101 13:15 ,6.81
WCCLABTEMP ,20080101 13:30 ,6.86
WCCLABTEMP ,20080101 13:45 ,6.91
WCCLABTEMP ,20080101 14:00 ,6.97
WCCLABTEMP ,20080101 14:15 ,6.97
WCCLABTEMP ,20080101 14:30 ,6.94
WCCLABTEMP ,20080101 14:45 ,6.89
WCCLABTEMP ,20080101 15:00 ,6.81
WCCLABTEMP ,20080101 15:15 ,6.76
WCCLABTEMP ,20080101 15:30 ,6.69
WCCLABTEMP ,20080101 15:45 ,6.61
