\data
WCCLABTEMP ,20090102  3:45 ,16.51
WCCLABTEMP ,20090102  4:00 ,16.51
WCCLABTEMP ,20090102  4:15 ,16.51
WCCLABTEMP ,20090102  4:30 ,16.53
WCCLABTEMP ,20090102  4:45 ,16.53
WCCLABTEMP ,20090102  5:00 ,16.56
WCCLABTEMP ,20090102  5:15 ,16.58
WCCLABTEMP ,20090102  5:30 ,16.58
WCCLABTEMP ,20090102  5:45 ,16.63
WCCLABTEMP ,20090102  6:00 ,16.68
WCCLABTEMP ,20090102  6:15 ,16.73
WCCLABTEMP ,20090102  6:30 ,16.75
WCCLABTEMP ,20090102  6:45 ,16.75
WCCLABTEMP ,20090102  7:00 ,16.82
WCCLABTEMP ,20090102  7:15 ,16.94
WCCLABTEMP ,20090102  7:30 ,17.03
WCCLABTEMP ,20090102  7:45 ,17.06
WCCLABTEMP ,20090102  8:00 ,17.08
WCCLABTEMP ,20090102  8:15 ,17.13
WCCLABTEMP ,20090102  8:30 ,17.2
WCCLABTEMP ,20090102  8:45 ,17.25
WCCLABTEMP ,20090102  9:00 ,17.37
WCCLABTEMP ,20090102  9:15 ,17.46
WCCLABTEMP ,20090102  9:30 ,17.51
WCCLABTEMP ,20090102  9:45 ,17.53
WCCLABTEMP ,20090102 10:00 ,17.56
WCCLABTEMP ,20090102 10:15 ,17.58
WCCLABTEMP ,20090102 10:30 ,17.61
WCCLABTEMP ,20090102 10:45 ,17.63
WCCLABTEMP ,20090102 11:00 ,17.77
WCCLABTEMP ,20090102 11:15 ,17.82
WCCLABTEMP ,20090102 11:30 ,17.89
WCCLABTEMP ,20090102 11:45 ,17.94
WCCLABTEMP ,20090102 12:00 ,17.94
WCCLABTEMP ,20090102 12:15 ,18.06
WCCLABTEMP ,20090102 12:30 ,18.06
WCCLABTEMP ,20090102 12:45 ,18.01
WCCLABTEMP ,20090102 13:00 ,17.99
WCCLABTEMP ,20090102 13:15 ,17.94
WCCLABTEMP ,20090102 13:30 ,17.92
WCCLABTEMP ,20090102 13:45 ,17.92
WCCLABTEMP ,20090102 14:00 ,17.92
WCCLABTEMP ,20090102 14:15 ,17.89
WCCLABTEMP ,20090102 14:30 ,17.87
WCCLABTEMP ,20090102 14:45 ,17.82
WCCLABTEMP ,20090102 15:00 ,17.8
WCCLABTEMP ,20090102 15:15 ,17.75
WCCLABTEMP ,20090102 15:30 ,17.72
WCCLABTEMP ,20090102 15:45 ,17.68
WCCLABTEMP ,20090102 16:00 ,17.63
WCCLABTEMP ,20090102 16:15 ,17.58
WCCLABTEMP ,20090102 16:30 ,17.56
WCCLABTEMP ,20090102 16:45 ,17.53
WCCLABTEMP ,20090102 17:00 ,17.51
WCCLABTEMP ,20090102 17:15 ,17.49
WCCLABTEMP ,20090102 17:30 ,17.46
WCCLABTEMP ,20090102 17:45 ,17.44
WCCLABTEMP ,20090102 18:00 ,17.42
WCCLABTEMP ,20090102 18:15 ,17.37
WCCLABTEMP ,20090102 18:30 ,17.34
WCCLABTEMP ,20090102 18:45 ,17.32
WCCLABTEMP ,20090102 19:00 ,17.27
WCCLABTEMP ,20090102 19:15 ,17.23
WCCLABTEMP ,20090102 19:30 ,17.18
WCCLABTEMP ,20090102 19:45 ,17.11
WCCLABTEMP ,20090102 20:00 ,17.06
WCCLABTEMP ,20090102 20:15 ,17.01
WCCLABTEMP ,20090102 20:30 ,16.96
WCCLABTEMP ,20090102 20:45 ,16.92
WCCLABTEMP ,20090102 21:00 ,16.87
WCCLABTEMP ,20090102 21:15 ,16.82
WCCLABTEMP ,20090102 21:30 ,16.77
WCCLABTEMP ,20090102 21:45 ,16.75
WCCLABTEMP ,20090102 22:00 ,16.7
WCCLABTEMP ,20090102 22:15 ,16.68
WCCLABTEMP ,20090102 22:30 ,16.63
WCCLABTEMP ,20090102 22:45 ,16.61
WCCLABTEMP ,20090102 23:00 ,16.56
WCCLABTEMP ,20090102 23:15 ,16.53
WCCLABTEMP ,20090102 23:30 ,16.49
WCCLABTEMP ,20090102 23:45 ,16.44
WCCLABTEMP ,20090103  0:00 ,16.42
WCCLABTEMP ,20090103  0:15 ,16.39
WCCLABTEMP ,20090103  0:30 ,16.34
WCCLABTEMP ,20090103  0:45 ,16.3
WCCLABTEMP ,20090103  1:00 ,16.25
WCCLABTEMP ,20090103  1:15 ,16.23
WCCLABTEMP ,20090103  1:30 ,16.18
WCCLABTEMP ,20090103  1:45 ,16.13
WCCLABTEMP ,20090103  2:00 ,16.08
WCCLABTEMP ,20090103  2:15 ,16.03
