Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19760101  0:00,3.28,-9999,36.5,-9999
19760101  0:15,-9999,3.28,-9999,36.5
19760101  0:30,-9999,3.28,-9999,36.5
19760101  0:45,-9999,3.28,-9999,36.5
19760101  1:00,3.7,-9999,57.15,-9999
19760101  1:15,-9999,3.7,-9999,57.15
19760101  1:30,-9999,3.7,-9999,57.15
19760101  1:45,-9999,3.7,-9999,57.15
19760101  2:00,3.82,-9999,71.57,-9999
19760101  2:15,-9999,3.82,-9999,71.57
19760101  2:30,-9999,3.82,-9999,71.57
19760101  2:45,-9999,3.82,-9999,71.57
19760101  3:00,3.83,-9999,72.87,-9999
19760101  3:15,-9999,3.83,-9999,72.87
19760101  3:30,-9999,3.83,-9999,72.87
19760101  3:45,-9999,3.83,-9999,72.87
19760101  4:00,3.69,-9999,56.04,-9999
19760101  4:15,-9999,3.69,-9999,56.04
19760101  4:30,-9999,3.69,-9999,56.04
19760101  4:45,-9999,3.69,-9999,56.04
19760101  5:00,3.56,-9999,38.01,-9999
19760101  5:15,-9999,3.56,-9999,38.01
19760101  5:30,-9999,3.56,-9999,38.01
19760101  5:45,-9999,3.56,-9999,38.01
19760101  6:00,3.44,-9999,20.51,-9999
19760101  6:15,-9999,3.44,-9999,20.51
19760101  6:30,-9999,3.44,-9999,20.51
19760101  6:45,-9999,3.44,-9999,20.51
19760101  7:00,3.38,-9999,15.07,-9999
19760101  7:15,-9999,3.38,-9999,15.07
19760101  7:30,-9999,3.38,-9999,15.07
19760101  7:45,-9999,3.38,-9999,15.07
19760101  8:00,3.35,-9999,12.91,-9999
19760101  8:15,-9999,3.35,-9999,12.91
19760101  8:30,-9999,3.35,-9999,12.91
19760101  8:45,-9999,3.35,-9999,12.91
19760101  9:00,3.32,-9999,11.07,-9999
19760101  9:15,-9999,3.32,-9999,11.07
19760101  9:30,-9999,3.32,-9999,11.07
19760101  9:45,-9999,3.32,-9999,11.07
19760101 10:00,3.3,-9999,9.99,-9999
19760101 10:15,-9999,3.3,-9999,9.99
19760101 10:30,-9999,3.3,-9999,9.99
19760101 10:45,-9999,3.3,-9999,9.99
19760101 11:00,3.28,-9999,9.01,-9999
19760101 11:15,-9999,3.28,-9999,9.01
19760101 11:30,-9999,3.28,-9999,9.01
19760101 11:45,-9999,3.28,-9999,9.01
19760101 12:00,3.26,-9999,8.13,-9999
19760101 12:15,-9999,3.26,-9999,8.13
