Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19990101  0:00,3.015,-9999,1.76,-9999
19990101  0:15,3.015,-9999,1.76,-9999
19990101  0:30,3.015,-9999,1.76,-9999
19990101  0:45,3.015,-9999,1.76,-9999
19990101  1:00,3.015,-9999,1.76,-9999
19990101  1:15,3.015,-9999,1.76,-9999
19990101  1:30,3.015,-9999,1.76,-9999
19990101  1:45,3.015,-9999,1.76,-9999
19990101  2:00,3.015,-9999,1.76,-9999
19990101  2:15,3.015,-9999,1.76,-9999
19990101  2:30,3.015,-9999,1.76,-9999
19990101  2:45,3.015,-9999,1.76,-9999
19990101  3:00,3.015,-9999,1.76,-9999
19990101  3:15,3.015,-9999,1.76,-9999
19990101  3:30,3.015,-9999,1.76,-9999
19990101  3:45,3.015,-9999,1.76,-9999
19990101  4:00,3.011,-9999,1.71,-9999
19990101  4:15,3.011,-9999,1.71,-9999
19990101  4:30,3.011,-9999,1.71,-9999
19990101  4:45,3.015,-9999,1.76,-9999
19990101  5:00,3.011,-9999,1.71,-9999
19990101  5:15,3.011,-9999,1.71,-9999
19990101  5:30,3.011,-9999,1.71,-9999
19990101  5:45,3.015,-9999,1.76,-9999
19990101  6:00,3.011,-9999,1.71,-9999
19990101  6:15,3.011,-9999,1.71,-9999
19990101  6:30,3.011,-9999,1.71,-9999
19990101  6:45,3.015,-9999,1.76,-9999
19990101  7:00,3.011,-9999,1.71,-9999
19990101  7:15,3.011,-9999,1.71,-9999
19990101  7:30,3.011,-9999,1.71,-9999
19990101  7:45,3.015,-9999,1.76,-9999
19990101  8:00,3.011,-9999,1.71,-9999
19990101  8:15,3.011,-9999,1.71,-9999
19990101  8:30,3.02,-9999,1.8,-9999
19990101  8:45,3.015,-9999,1.76,-9999
19990101  9:00,3.011,-9999,1.71,-9999
19990101  9:15,3.011,-9999,1.71,-9999
19990101  9:30,3.006,-9999,1.67,-9999
19990101  9:45,3.011,-9999,1.71,-9999
19990101 10:00,3.011,-9999,1.71,-9999
19990101 10:15,3.011,-9999,1.71,-9999
19990101 10:30,3.011,-9999,1.71,-9999
19990101 10:45,3.011,-9999,1.71,-9999
19990101 11:00,3.011,-9999,1.71,-9999
19990101 11:15,3.011,-9999,1.71,-9999
19990101 11:30,3.011,-9999,1.71,-9999
19990101 11:45,3.011,-9999,1.71,-9999
19990101 12:00,3.011,-9999,1.71,-9999
19990101 12:15,3.011,-9999,1.71,-9999
19990101 12:30,3.011,-9999,1.71,-9999
19990101 12:45,3.011,-9999,1.71,-9999
19990101 13:00,3.011,-9999,1.71,-9999
19990101 13:15,3.011,-9999,1.71,-9999
19990101 13:30,3.011,-9999,1.71,-9999
19990101 13:45,3.011,-9999,1.71,-9999
19990101 14:00,3.011,-9999,1.71,-9999
19990101 14:15,3.011,-9999,1.71,-9999
19990101 14:30,3.011,-9999,1.71,-9999
19990101 14:45,3.011,-9999,1.71,-9999
19990101 15:00,3.011,-9999,1.71,-9999
19990101 15:15,3.011,-9999,1.71,-9999
19990101 15:30,3.011,-9999,1.71,-9999
19990101 15:45,3.011,-9999,1.71,-9999
19990101 16:00,3.011,-9999,1.71,-9999
19990101 16:15,3.015,-9999,1.76,-9999
19990101 16:30,3.006,-9999,1.67,-9999
19990101 16:45,3.015,-9999,1.76,-9999
19990101 17:00,3.006,-9999,1.67,-9999
19990101 17:15,3.006,-9999,1.67,-9999
19990101 17:30,3.006,-9999,1.67,-9999
19990101 17:45,3.015,-9999,1.76,-9999
19990101 18:00,3.015,-9999,1.76,-9999
19990101 18:15,3.006,-9999,1.67,-9999
19990101 18:30,3.006,-9999,1.67,-9999
19990101 18:45,3.015,-9999,1.76,-9999
19990101 19:00,3.015,-9999,1.76,-9999
19990101 19:15,3.011,-9999,1.71,-9999
19990101 19:30,3.011,-9999,1.71,-9999
19990101 19:45,3.011,-9999,1.71,-9999
19990101 20:00,3.011,-9999,1.71,-9999
19990101 20:15,3.011,-9999,1.71,-9999
19990101 20:30,3.011,-9999,1.71,-9999
19990101 20:45,3.011,-9999,1.71,-9999
19990101 21:00,3.011,-9999,1.71,-9999
19990101 21:15,3.011,-9999,1.71,-9999
19990101 21:30,3.011,-9999,1.71,-9999
19990101 21:45,3.011,-9999,1.71,-9999
19990101 22:00,3.011,-9999,1.71,-9999
19990101 22:15,3.011,-9999,1.71,-9999
19990101 22:30,3.011,-9999,1.71,-9999
19990101 22:45,3.011,-9999,1.71,-9999
19990101 23:00,3.011,-9999,1.71,-9999
19990101 23:15,3.011,-9999,1.71,-9999
19990101 23:30,3.011,-9999,1.71,-9999
19990101 23:45,2.997,-9999,1.59,-9999
19990102  0:00,2.997,-9999,1.59,-9999
19990102  0:15,2.997,-9999,1.59,-9999
19990102  0:30,2.997,-9999,1.59,-9999
19990102  0:45,2.997,-9999,1.59,-9999
19990102  1:00,2.997,-9999,1.59,-9999
19990102  1:15,2.997,-9999,1.59,-9999
19990102  1:30,2.997,-9999,1.59,-9999
19990102  1:45,2.997,-9999,1.59,-9999
19990102  2:00,2.997,-9999,1.59,-9999
19990102  2:15,2.997,-9999,1.59,-9999
19990102  2:30,2.997,-9999,1.59,-9999
19990102  2:45,2.997,-9999,1.59,-9999
19990102  3:00,2.997,-9999,1.59,-9999
19990102  3:15,2.997,-9999,1.59,-9999
19990102  3:30,3.002,-9999,1.63,-9999
19990102  3:45,3.002,-9999,1.63,-9999
19990102  4:00,3.002,-9999,1.63,-9999
19990102  4:15,3.002,-9999,1.63,-9999
19990102  4:30,3.002,-9999,1.63,-9999
19990102  4:45,2.997,-9999,1.59,-9999
19990102  5:00,2.997,-9999,1.59,-9999
19990102  5:15,3.002,-9999,1.63,-9999
19990102  5:30,3.002,-9999,1.63,-9999
19990102  5:45,2.997,-9999,1.59,-9999
19990102  6:00,2.997,-9999,1.59,-9999
19990102  6:15,3.002,-9999,1.63,-9999
19990102  6:30,3.002,-9999,1.63,-9999
19990102  6:45,2.993,-9999,1.55,-9999
19990102  7:00,2.993,-9999,1.55,-9999
19990102  7:15,3.002,-9999,1.63,-9999
19990102  7:30,2.997,-9999,1.59,-9999
19990102  7:45,2.997,-9999,1.59,-9999
19990102  8:00,2.997,-9999,1.59,-9999
19990102  8:15,2.997,-9999,1.59,-9999
19990102  8:30,3.002,-9999,1.63,-9999
19990102  8:45,3.002,-9999,1.63,-9999
19990102  9:00,3.002,-9999,1.63,-9999
19990102  9:15,2.997,-9999,1.59,-9999
19990102  9:30,3.002,-9999,1.63,-9999
19990102  9:45,3.002,-9999,1.63,-9999
19990102 10:00,3.002,-9999,1.63,-9999
19990102 10:15,3.002,-9999,1.63,-9999
19990102 10:30,3.002,-9999,1.63,-9999
19990102 10:45,3.002,-9999,1.63,-9999
19990102 11:00,3.002,-9999,1.63,-9999
19990102 11:15,3.002,-9999,1.63,-9999
19990102 11:30,3.002,-9999,1.63,-9999
19990102 11:45,2.997,-9999,1.59,-9999
19990102 12:00,2.997,-9999,1.59,-9999
19990102 12:15,3.002,-9999,1.63,-9999
19990102 12:30,2.997,-9999,1.59,-9999
19990102 12:45,2.993,-9999,1.55,-9999
19990102 13:00,2.993,-9999,1.55,-9999
19990102 13:15,3.002,-9999,1.63,-9999
19990102 13:30,3.002,-9999,1.63,-9999
19990102 13:45,2.993,-9999,1.55,-9999
19990102 14:00,2.993,-9999,1.55,-9999
19990102 14:15,3.002,-9999,1.63,-9999
19990102 14:30,3.002,-9999,1.63,-9999
19990102 14:45,2.993,-9999,1.55,-9999
19990102 15:00,2.997,-9999,1.59,-9999
19990102 15:15,3.002,-9999,1.63,-9999
19990102 15:30,3.002,-9999,1.63,-9999
19990102 15:45,2.993,-9999,1.55,-9999
19990102 16:00,2.993,-9999,1.55,-9999
19990102 16:15,3.002,-9999,1.63,-9999
19990102 16:30,3.002,-9999,1.63,-9999
19990102 16:45,2.997,-9999,1.59,-9999
19990102 17:00,3.002,-9999,1.63,-9999
19990102 17:15,2.997,-9999,1.59,-9999
19990102 17:30,2.997,-9999,1.59,-9999
19990102 17:45,2.997,-9999,1.59,-9999
19990102 18:00,3.002,-9999,1.63,-9999
19990102 18:15,2.997,-9999,1.59,-9999
19990102 18:30,2.997,-9999,1.59,-9999
19990102 18:45,2.997,-9999,1.59,-9999
19990102 19:00,3.006,-9999,1.67,-9999
19990102 19:15,2.997,-9999,1.59,-9999
19990102 19:30,3.006,-9999,1.67,-9999
19990102 19:45,2.997,-9999,1.59,-9999
19990102 20:00,3.006,-9999,1.67,-9999
19990102 20:15,2.997,-9999,1.59,-9999
19990102 20:30,3.006,-9999,1.67,-9999
19990102 20:45,3.002,-9999,1.63,-9999
19990102 21:00,3.006,-9999,1.67,-9999
19990102 21:15,3.002,-9999,1.63,-9999
19990102 21:30,3.002,-9999,1.63,-9999
19990102 21:45,3.011,-9999,1.71,-9999
19990102 22:00,3.002,-9999,1.63,-9999
19990102 22:15,3.011,-9999,1.71,-9999
19990102 22:30,3.011,-9999,1.71,-9999
19990102 22:45,3.002,-9999,1.63,-9999
19990102 23:00,3.006,-9999,1.67,-9999
19990102 23:15,3.011,-9999,1.71,-9999
19990102 23:30,3.006,-9999,1.67,-9999
19990102 23:45,3.011,-9999,1.71,-9999
19990103  0:00,3.002,-9999,1.63,-9999
19990103  0:15,3.006,-9999,1.67,-9999
19990103  0:30,3.006,-9999,1.67,-9999
19990103  0:45,3.011,-9999,1.71,-9999
19990103  1:00,3.006,-9999,1.67,-9999
19990103  1:15,3.006,-9999,1.67,-9999
19990103  1:30,3.006,-9999,1.67,-9999
19990103  1:45,3.011,-9999,1.71,-9999
19990103  2:00,3.011,-9999,1.71,-9999
19990103  2:15,3.011,-9999,1.71,-9999
19990103  2:30,3.011,-9999,1.71,-9999
19990103  2:45,3.011,-9999,1.71,-9999
19990103  3:00,3.011,-9999,1.71,-9999
19990103  3:15,3.011,-9999,1.71,-9999
19990103  3:30,3.015,-9999,1.76,-9999
19990103  3:45,3.02,-9999,1.8,-9999
19990103  4:00,3.024,-9999,1.85,-9999
19990103  4:15,3.033,-9999,1.94,-9999
19990103  4:30,3.042,-9999,2.04,-9999
19990103  4:45,3.051,-9999,2.15,-9999
19990103  5:00,3.06,-9999,2.26,-9999
19990103  5:15,3.074,-9999,2.44,-9999
19990103  5:30,3.087,-9999,2.63,-9999
19990103  5:45,3.096,-9999,2.77,-9999
19990103  6:00,3.123,-9999,3.22,-9999
19990103  6:15,3.155,-9999,3.84,-9999
19990103  6:30,3.182,-9999,4.47,-9999
19990103  6:45,3.209,-9999,5.2,-9999
19990103  7:00,3.254,-9999,6.69,-9999
19990103  7:15,3.339,-9999,10.8,-9999
19990103  7:30,3.434,-9999,18.35,-9999
19990103  7:45,3.497,-9999,26.13,-9999
19990103  8:00,3.528,-9999,31.18,-9999
19990103  8:15,3.555,-9999,36.27,-9999
19990103  8:30,3.573,-9999,40.13,-9999
19990103  8:45,3.591,-9999,44.39,-9999
19990103  9:00,3.614,-9999,48.02,-9999
19990103  9:15,3.614,-9999,48.02,-9999
19990103  9:30,3.614,-9999,48.02,-9999
19990103  9:45,3.614,-9999,48.02,-9999
19990103 10:00,3.623,-9999,48.92,-9999
19990103 10:15,3.627,-9999,49.38,-9999
19990103 10:30,3.632,-9999,49.84,-9999
19990103 10:45,3.65,-9999,51.7,-9999
19990103 11:00,3.659,-9999,52.64,-9999
19990103 11:15,3.663,-9999,53.12,-9999
19990103 11:30,3.672,-9999,54.08,-9999
19990103 11:45,3.677,-9999,54.57,-9999
19990103 12:00,3.681,-9999,55.06,-9999
19990103 12:15,3.663,-9999,53.12,-9999
19990103 12:30,3.65,-9999,51.7,-9999
19990103 12:45,3.627,-9999,49.38,-9999
19990103 13:00,3.596,-9999,45.63,-9999
19990103 13:15,3.573,-9999,40.72,-9999
19990103 13:30,3.56,-9999,38.03,-9999
19990103 13:45,3.537,-9999,33.94,-9999
19990103 14:00,3.519,-9999,30.98,-9999
19990103 14:15,3.501,-9999,28.28,-9999
19990103 14:30,3.479,-9999,25.24,-9999
19990103 14:45,3.452,-9999,22.01,-9999
19990103 15:00,3.425,-9999,19.2,-9999
19990103 15:15,3.398,-9999,16.75,-9999
19990103 15:30,3.375,-9999,14.94,-9999
19990103 15:45,3.362,-9999,13.96,-9999
19990103 16:00,3.344,-9999,12.74,-9999
19990103 16:15,3.326,-9999,11.63,-9999
19990103 16:30,3.317,-9999,11.11,-9999
19990103 16:45,3.303,-9999,10.38,-9999
19990103 17:00,3.285,-9999,9.48,-9999
19990103 17:15,3.281,-9999,9.26,-9999
19990103 17:30,3.267,-9999,8.65,-9999
19990103 17:45,3.263,-9999,8.45,-9999
19990103 18:00,3.249,-9999,7.9,-9999
19990103 18:15,3.245,-9999,7.72,-9999
19990103 18:30,3.24,-9999,7.54,-9999
19990103 18:45,3.231,-9999,7.21,-9999
19990103 19:00,3.222,-9999,6.89,-9999
19990103 19:15,3.222,-9999,6.89,-9999
19990103 19:30,3.213,-9999,6.58,-9999
19990103 19:45,3.209,-9999,6.43,-9999
19990103 20:00,3.204,-9999,6.29,-9999
19990103 20:15,3.195,-9999,6.01,-9999
19990103 20:30,3.195,-9999,6.01,-9999
19990103 20:45,3.186,-9999,5.74,-9999
19990103 21:00,3.182,-9999,5.61,-9999
19990103 21:15,3.177,-9999,5.48,-9999
19990103 21:30,3.177,-9999,5.48,-9999
19990103 21:45,3.177,-9999,5.48,-9999
19990103 22:00,3.173,-9999,5.36,-9999
19990103 22:15,3.168,-9999,5.24,-9999
19990103 22:30,3.168,-9999,5.24,-9999
19990103 22:45,3.164,-9999,5.12,-9999
19990103 23:00,3.159,-9999,5.01,-9999
19990103 23:15,3.155,-9999,4.89,-9999
19990103 23:30,3.155,-9999,4.89,-9999
19990103 23:45,3.155,-9999,4.89,-9999
19990104  0:00,3.146,-9999,4.68,-9999
19990104  0:15,3.15,-9999,4.78,-9999
19990104  0:30,3.15,-9999,4.78,-9999
19990104  0:45,3.141,-9999,4.57,-9999
19990104  1:00,3.137,-9999,4.47,-9999
19990104  1:15,3.141,-9999,4.57,-9999
19990104  1:30,3.137,-9999,4.47,-9999
19990104  1:45,3.137,-9999,4.47,-9999
19990104  2:00,3.132,-9999,4.37,-9999
19990104  2:15,3.132,-9999,4.37,-9999
19990104  2:30,3.132,-9999,4.37,-9999
19990104  2:45,3.123,-9999,4.17,-9999
19990104  3:00,3.119,-9999,4.08,-9999
19990104  3:15,3.123,-9999,4.17,-9999
19990104  3:30,3.123,-9999,4.17,-9999
19990104  3:45,3.114,-9999,3.99,-9999
19990104  4:00,3.119,-9999,4.08,-9999
19990104  4:15,3.11,-9999,3.9,-9999
19990104  4:30,3.105,-9999,3.81,-9999
19990104  4:45,3.105,-9999,3.81,-9999
19990104  5:00,3.114,-9999,3.99,-9999
19990104  5:15,3.105,-9999,3.81,-9999
19990104  5:30,3.11,-9999,3.9,-9999
19990104  5:45,3.105,-9999,3.81,-9999
19990104  6:00,3.11,-9999,3.9,-9999
19990104  6:15,3.101,-9999,3.72,-9999
19990104  6:30,3.101,-9999,3.72,-9999
19990104  6:45,3.105,-9999,3.81,-9999
19990104  7:00,3.096,-9999,3.64,-9999
19990104  7:15,3.096,-9999,3.64,-9999
19990104  7:30,3.101,-9999,3.72,-9999
19990104  7:45,3.092,-9999,3.56,-9999
19990104  8:00,3.096,-9999,3.64,-9999
19990104  8:15,3.087,-9999,3.48,-9999
19990104  8:30,3.096,-9999,3.64,-9999
19990104  8:45,3.096,-9999,3.64,-9999
