Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19830101  0:00,-9999,2.71,-9999,2.4
19830101  0:15,-9999,2.71,-9999,2.4
19830101  0:30,-9999,2.71,-9999,2.4
19830101  0:45,-9999,2.71,-9999,2.4
19830101  1:00,-9999,2.71,-9999,2.4
19830101  1:15,-9999,2.71,-9999,2.4
19830101  1:30,-9999,2.71,-9999,2.4
19830101  1:45,-9999,2.71,-9999,2.4
19830101  2:00,-9999,2.71,-9999,2.4
19830101  2:15,-9999,2.71,-9999,2.4
19830101  2:30,-9999,2.71,-9999,2.4
19830101  2:45,-9999,2.71,-9999,2.4
19830101  3:00,-9999,2.71,-9999,2.4
19830101  3:15,-9999,2.71,-9999,2.4
19830101  3:30,-9999,2.71,-9999,2.4
19830101  3:45,-9999,2.71,-9999,2.4
19830101  4:00,-9999,2.71,-9999,2.4
19830101  4:15,-9999,2.71,-9999,2.4
19830101  4:30,-9999,2.71,-9999,2.4
19830101  4:45,-9999,2.71,-9999,2.4
19830101  5:00,-9999,2.71,-9999,2.4
19830101  5:15,-9999,2.71,-9999,2.4
19830101  5:30,-9999,2.71,-9999,2.4
19830101  5:45,-9999,2.71,-9999,2.4
19830101  6:00,-9999,2.71,-9999,2.4
19830101  6:15,-9999,2.71,-9999,2.4
19830101  6:30,-9999,2.71,-9999,2.4
19830101  6:45,-9999,2.71,-9999,2.4
19830101  7:00,-9999,2.71,-9999,2.4
19830101  7:15,-9999,2.71,-9999,2.4
19830101  7:30,-9999,2.71,-9999,2.4
19830101  7:45,-9999,2.71,-9999,2.4
19830101  8:00,-9999,2.71,-9999,2.4
19830101  8:15,-9999,2.71,-9999,2.4
19830101  8:30,-9999,2.71,-9999,2.4
19830101  8:45,-9999,2.71,-9999,2.4
19830101  9:00,-9999,2.71,-9999,2.4
19830101  9:15,-9999,2.71,-9999,2.4
19830101  9:30,-9999,2.71,-9999,2.4
19830101  9:45,-9999,2.71,-9999,2.4
19830101 10:00,-9999,2.71,-9999,2.4
19830101 10:15,-9999,2.71,-9999,2.4
19830101 10:30,-9999,2.71,-9999,2.4
19830101 10:45,-9999,2.71,-9999,2.4
19830101 11:00,-9999,2.71,-9999,2.4
19830101 11:15,-9999,2.71,-9999,2.4
19830101 11:30,-9999,2.71,-9999,2.4
19830101 11:45,-9999,2.71,-9999,2.4
19830101 12:00,2.7,-9999,2.32,-9999
19830101 12:15,-9999,2.7,-9999,2.32
19830101 12:30,-9999,2.7,-9999,2.32
19830101 12:45,-9999,2.7,-9999,2.32
19830101 13:00,-9999,2.7,-9999,2.32
19830101 13:15,-9999,2.7,-9999,2.32
19830101 13:30,-9999,2.7,-9999,2.32
19830101 13:45,-9999,2.7,-9999,2.32
19830101 14:00,-9999,2.7,-9999,2.32
19830101 14:15,-9999,2.7,-9999,2.32
19830101 14:30,-9999,2.7,-9999,2.32
19830101 14:45,-9999,2.7,-9999,2.32
19830101 15:00,-9999,2.7,-9999,2.32
19830101 15:15,-9999,2.7,-9999,2.32
19830101 15:30,-9999,2.7,-9999,2.32
19830101 15:45,-9999,2.7,-9999,2.32
19830101 16:00,-9999,2.7,-9999,2.32
19830101 16:15,-9999,2.7,-9999,2.32
19830101 16:30,-9999,2.7,-9999,2.32
19830101 16:45,-9999,2.7,-9999,2.32
19830101 17:00,-9999,2.7,-9999,2.32
19830101 17:15,-9999,2.7,-9999,2.32
19830101 17:30,-9999,2.7,-9999,2.32
19830101 17:45,-9999,2.7,-9999,2.32
19830101 18:00,-9999,2.7,-9999,2.32
19830101 18:15,-9999,2.7,-9999,2.32
