Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20050101  0:05,3.201,-9999,5.68,-9999
20050101  0:20,3.201,-9999,5.68,-9999
20050101  0:35,3.201,-9999,5.68,-9999
20050101  0:50,3.204,-9999,5.75,-9999
20050101  1:05,3.201,-9999,5.68,-9999
20050101  1:20,3.201,-9999,5.68,-9999
20050101  1:35,3.201,-9999,5.68,-9999
20050101  1:50,3.199,-9999,5.61,-9999
20050101  2:05,3.199,-9999,5.61,-9999
20050101  2:20,3.201,-9999,5.68,-9999
20050101  2:35,3.201,-9999,5.68,-9999
20050101  2:50,3.201,-9999,5.68,-9999
20050101  3:05,3.199,-9999,5.61,-9999
20050101  3:20,3.201,-9999,5.68,-9999
20050101  3:35,3.201,-9999,5.68,-9999
20050101  3:50,3.199,-9999,5.61,-9999
20050101  4:05,3.196,-9999,5.54,-9999
20050101  4:20,3.199,-9999,5.61,-9999
20050101  4:35,3.196,-9999,5.54,-9999
20050101  4:50,3.196,-9999,5.54,-9999
20050101  5:05,3.196,-9999,5.54,-9999
20050101  5:20,3.196,-9999,5.54,-9999
20050101  5:35,3.199,-9999,5.61,-9999
20050101  5:50,3.196,-9999,5.54,-9999
20050101  6:05,3.196,-9999,5.54,-9999
20050101  6:20,3.199,-9999,5.61,-9999
20050101  6:35,3.194,-9999,5.47,-9999
20050101  6:50,3.196,-9999,5.54,-9999
20050101  7:05,3.194,-9999,5.47,-9999
20050101  7:20,3.196,-9999,5.54,-9999
20050101  7:35,3.194,-9999,5.47,-9999
20050101  7:50,3.194,-9999,5.47,-9999
20050101  8:05,3.194,-9999,5.47,-9999
20050101  8:20,3.194,-9999,5.47,-9999
20050101  8:35,3.192,-9999,5.4,-9999
20050101  8:50,3.192,-9999,5.4,-9999
20050101  9:05,3.189,-9999,5.34,-9999
20050101  9:20,3.192,-9999,5.4,-9999
20050101  9:35,3.189,-9999,5.34,-9999
20050101  9:50,3.192,-9999,5.4,-9999
20050101 10:05,3.192,-9999,5.4,-9999
20050101 10:20,3.192,-9999,5.4,-9999
20050101 10:35,3.194,-9999,5.47,-9999
20050101 10:50,3.189,-9999,5.33,-9999
20050101 11:05,3.189,-9999,5.33,-9999
20050101 11:20,3.189,-9999,5.33,-9999
20050101 11:35,3.194,-9999,5.46,-9999
20050101 11:50,3.194,-9999,5.46,-9999
20050101 12:05,3.189,-9999,5.33,-9999
20050101 12:20,3.191,-9999,5.4,-9999
20050101 12:35,3.191,-9999,5.4,-9999
20050101 12:50,3.194,-9999,5.46,-9999
20050101 13:05,3.194,-9999,5.46,-9999
20050101 13:20,3.191,-9999,5.4,-9999
20050101 13:35,3.194,-9999,5.46,-9999
20050101 13:50,3.191,-9999,5.39,-9999
20050101 14:05,3.194,-9999,5.46,-9999
20050101 14:20,3.191,-9999,5.39,-9999
20050101 14:35,3.196,-9999,5.53,-9999
20050101 14:50,3.194,-9999,5.46,-9999
20050101 15:05,3.194,-9999,5.46,-9999
20050101 15:20,3.196,-9999,5.53,-9999
20050101 15:35,3.196,-9999,5.53,-9999
20050101 15:50,3.194,-9999,5.46,-9999
20050101 16:05,3.196,-9999,5.53,-9999
20050101 16:20,3.198,-9999,5.59,-9999
20050101 16:35,3.196,-9999,5.52,-9999
20050101 16:50,3.196,-9999,5.52,-9999
20050101 17:05,3.194,-9999,5.46,-9999
20050101 17:20,3.198,-9999,5.59,-9999
20050101 17:35,3.196,-9999,5.52,-9999
20050101 17:50,3.196,-9999,5.52,-9999
20050101 18:05,3.194,-9999,5.46,-9999
20050101 18:20,3.196,-9999,5.52,-9999
20050101 18:35,3.196,-9999,5.52,-9999
20050101 18:50,3.193,-9999,5.45,-9999
20050101 19:05,3.196,-9999,5.52,-9999
20050101 19:20,3.196,-9999,5.52,-9999
20050101 19:35,3.196,-9999,5.52,-9999
20050101 19:50,3.191,-9999,5.39,-9999
20050101 20:05,3.196,-9999,5.52,-9999
20050101 20:20,3.193,-9999,5.45,-9999
20050101 20:35,3.193,-9999,5.45,-9999
20050101 20:50,3.196,-9999,5.52,-9999
20050101 21:05,3.193,-9999,5.45,-9999
20050101 21:20,3.193,-9999,5.45,-9999
20050101 21:35,3.193,-9999,5.45,-9999
20050101 21:50,3.191,-9999,5.38,-9999
20050101 22:05,3.193,-9999,5.45,-9999
20050101 22:20,3.193,-9999,5.45,-9999
20050101 22:35,3.196,-9999,5.52,-9999
20050101 22:50,3.191,-9999,5.38,-9999
20050101 23:05,3.191,-9999,5.38,-9999
20050101 23:20,3.193,-9999,5.45,-9999
20050101 23:35,3.191,-9999,5.38,-9999
20050101 23:50,3.193,-9999,5.45,-9999
20050102  0:05,3.191,-9999,5.38,-9999
20050102  0:20,3.191,-9999,5.38,-9999
20050102  0:35,3.191,-9999,5.38,-9999
20050102  0:50,3.191,-9999,5.38,-9999
20050102  1:05,3.191,-9999,5.38,-9999
20050102  1:20,3.191,-9999,5.38,-9999
20050102  1:35,3.191,-9999,5.38,-9999
20050102  1:50,3.191,-9999,5.38,-9999
20050102  2:05,3.191,-9999,5.38,-9999
20050102  2:20,3.189,-9999,5.31,-9999
20050102  2:35,3.191,-9999,5.38,-9999
20050102  2:50,3.189,-9999,5.31,-9999
20050102  3:05,3.191,-9999,5.38,-9999
20050102  3:20,3.191,-9999,5.38,-9999
20050102  3:35,3.188,-9999,5.31,-9999
20050102  3:50,3.186,-9999,5.25,-9999
20050102  4:05,3.188,-9999,5.31,-9999
20050102  4:20,3.188,-9999,5.31,-9999
20050102  4:35,3.186,-9999,5.25,-9999
20050102  4:50,3.188,-9999,5.31,-9999
20050102  5:05,3.188,-9999,5.31,-9999
20050102  5:20,3.188,-9999,5.31,-9999
20050102  5:35,3.188,-9999,5.31,-9999
20050102  5:50,3.191,-9999,5.37,-9999
20050102  6:05,3.186,-9999,5.24,-9999
20050102  6:20,3.191,-9999,5.37,-9999
20050102  6:35,3.188,-9999,5.31,-9999
20050102  6:50,3.186,-9999,5.24,-9999
20050102  7:05,3.188,-9999,5.31,-9999
20050102  7:20,3.188,-9999,5.31,-9999
20050102  7:35,3.186,-9999,5.24,-9999
20050102  7:50,3.186,-9999,5.24,-9999
20050102  8:05,3.184,-9999,5.18,-9999
20050102  8:20,3.184,-9999,5.18,-9999
20050102  8:35,3.184,-9999,5.18,-9999
20050102  8:50,3.184,-9999,5.18,-9999
20050102  9:05,3.184,-9999,5.18,-9999
20050102  9:20,3.184,-9999,5.18,-9999
20050102  9:35,3.186,-9999,5.24,-9999
20050102  9:50,3.184,-9999,5.18,-9999
20050102 10:05,3.184,-9999,5.18,-9999
20050102 10:20,3.184,-9999,5.18,-9999
20050102 10:35,3.184,-9999,5.18,-9999
20050102 10:50,3.184,-9999,5.17,-9999
20050102 11:05,3.184,-9999,5.17,-9999
20050102 11:20,3.184,-9999,5.17,-9999
20050102 11:35,3.183,-9999,5.17,-9999
20050102 11:50,3.186,-9999,5.24,-9999
20050102 12:05,3.188,-9999,5.3,-9999
20050102 12:20,3.186,-9999,5.24,-9999
20050102 12:35,3.188,-9999,5.3,-9999
20050102 12:50,3.186,-9999,5.24,-9999
20050102 13:05,3.188,-9999,5.3,-9999
20050102 13:20,3.188,-9999,5.3,-9999
20050102 13:35,3.188,-9999,5.3,-9999
20050102 13:50,3.19,-9999,5.36,-9999
20050102 14:05,3.193,-9999,5.43,-9999
20050102 14:20,3.19,-9999,5.36,-9999
20050102 14:35,3.19,-9999,5.36,-9999
20050102 14:50,3.19,-9999,5.36,-9999
20050102 15:05,3.19,-9999,5.36,-9999
20050102 15:20,3.188,-9999,5.3,-9999
20050102 15:35,3.19,-9999,5.36,-9999
20050102 15:50,3.19,-9999,5.36,-9999
20050102 16:05,3.19,-9999,5.36,-9999
20050102 16:20,3.19,-9999,5.36,-9999
20050102 16:35,3.188,-9999,5.3,-9999
20050102 16:50,3.19,-9999,5.36,-9999
20050102 17:05,3.19,-9999,5.36,-9999
20050102 17:20,3.188,-9999,5.29,-9999
20050102 17:35,3.19,-9999,5.36,-9999
20050102 17:50,3.19,-9999,5.36,-9999
20050102 18:05,3.19,-9999,5.36,-9999
20050102 18:20,3.188,-9999,5.29,-9999
20050102 18:35,3.19,-9999,5.36,-9999
20050102 18:50,3.192,-9999,5.42,-9999
20050102 19:05,3.19,-9999,5.36,-9999
20050102 19:20,3.185,-9999,5.23,-9999
20050102 19:35,3.188,-9999,5.29,-9999
20050102 19:50,3.188,-9999,5.29,-9999
20050102 20:05,3.188,-9999,5.29,-9999
20050102 20:20,3.188,-9999,5.29,-9999
20050102 20:35,3.188,-9999,5.29,-9999
20050102 20:50,3.188,-9999,5.29,-9999
20050102 21:05,3.188,-9999,5.29,-9999
20050102 21:20,3.19,-9999,5.35,-9999
20050102 21:35,3.19,-9999,5.35,-9999
20050102 21:50,3.19,-9999,5.35,-9999
20050102 22:05,3.19,-9999,5.35,-9999
20050102 22:20,3.19,-9999,5.35,-9999
20050102 22:35,3.188,-9999,5.29,-9999
20050102 22:50,3.188,-9999,5.29,-9999
20050102 23:05,3.188,-9999,5.29,-9999
20050102 23:20,3.188,-9999,5.29,-9999
20050102 23:35,3.188,-9999,5.29,-9999
20050102 23:50,3.19,-9999,5.35,-9999
20050103  0:05,3.188,-9999,5.29,-9999
20050103  0:20,3.19,-9999,5.35,-9999
20050103  0:35,3.19,-9999,5.35,-9999
20050103  0:50,3.188,-9999,5.28,-9999
20050103  1:05,3.187,-9999,5.28,-9999
20050103  1:20,3.187,-9999,5.28,-9999
20050103  1:35,3.19,-9999,5.35,-9999
20050103  1:50,3.187,-9999,5.28,-9999
20050103  2:05,3.19,-9999,5.35,-9999
20050103  2:20,3.187,-9999,5.28,-9999
20050103  2:35,3.187,-9999,5.28,-9999
20050103  2:50,3.187,-9999,5.28,-9999
20050103  3:05,3.187,-9999,5.28,-9999
20050103  3:20,3.187,-9999,5.28,-9999
20050103  3:35,3.187,-9999,5.28,-9999
20050103  3:50,3.187,-9999,5.28,-9999
20050103  4:05,3.187,-9999,5.28,-9999
20050103  4:20,3.19,-9999,5.34,-9999
20050103  4:35,3.187,-9999,5.28,-9999
20050103  4:50,3.187,-9999,5.28,-9999
20050103  5:05,3.187,-9999,5.28,-9999
20050103  5:20,3.187,-9999,5.28,-9999
20050103  5:35,3.185,-9999,5.21,-9999
20050103  5:50,3.187,-9999,5.28,-9999
20050103  6:05,3.185,-9999,5.21,-9999
20050103  6:20,3.185,-9999,5.21,-9999
20050103  6:35,3.187,-9999,5.28,-9999
20050103  6:50,3.187,-9999,5.28,-9999
20050103  7:05,3.187,-9999,5.28,-9999
20050103  7:20,3.185,-9999,5.21,-9999
20050103  7:35,3.185,-9999,5.21,-9999
20050103  7:50,3.187,-9999,5.28,-9999
20050103  8:05,3.187,-9999,5.28,-9999
20050103  8:20,3.185,-9999,5.21,-9999
20050103  8:35,3.187,-9999,5.27,-9999
20050103  8:50,3.185,-9999,5.21,-9999
20050103  9:05,3.185,-9999,5.21,-9999
20050103  9:20,3.183,-9999,5.15,-9999
20050103  9:35,3.185,-9999,5.21,-9999
20050103  9:50,3.187,-9999,5.27,-9999
