Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19810102  8:30,-9999,2.76,-9999,1.55
19810102  8:45,-9999,2.76,-9999,1.55
19810102  9:00,-9999,2.76,-9999,1.55
19810102  9:15,-9999,2.76,-9999,1.55
19810102  9:30,-9999,2.76,-9999,1.55
19810102  9:45,-9999,2.76,-9999,1.55
19810102 10:00,2.77,-9999,1.61,-9999
19810102 10:15,-9999,2.77,-9999,1.61
19810102 10:30,-9999,2.77,-9999,1.61
19810102 10:45,-9999,2.77,-9999,1.61
19810102 11:00,-9999,2.77,-9999,1.61
19810102 11:15,-9999,2.77,-9999,1.61
19810102 11:30,-9999,2.77,-9999,1.61
19810102 11:45,-9999,2.77,-9999,1.61
19810102 12:00,-9999,2.77,-9999,1.61
19810102 12:15,-9999,2.77,-9999,1.61
19810102 12:30,-9999,2.77,-9999,1.61
19810102 12:45,-9999,2.77,-9999,1.61
19810102 13:00,-9999,2.77,-9999,1.61
19810102 13:15,-9999,2.77,-9999,1.61
19810102 13:30,-9999,2.77,-9999,1.61
19810102 13:45,-9999,2.77,-9999,1.61
19810102 14:00,-9999,2.77,-9999,1.61
19810102 14:15,-9999,2.77,-9999,1.61
19810102 14:30,-9999,2.77,-9999,1.61
19810102 14:45,-9999,2.77,-9999,1.61
19810102 15:00,-9999,2.77,-9999,1.61
19810102 15:15,-9999,2.77,-9999,1.61
19810102 15:30,-9999,2.77,-9999,1.61
19810102 15:45,-9999,2.77,-9999,1.61
19810102 16:00,-9999,2.77,-9999,1.61
19810102 16:15,-9999,2.77,-9999,1.61
19810102 16:30,-9999,2.77,-9999,1.61
19810102 16:45,-9999,2.77,-9999,1.61
19810102 17:00,-9999,2.77,-9999,1.61
19810102 17:15,-9999,2.77,-9999,1.61
19810102 17:30,-9999,2.77,-9999,1.61
19810102 17:45,-9999,2.77,-9999,1.61
19810102 18:00,-9999,2.77,-9999,1.61
19810102 18:15,-9999,2.77,-9999,1.61
19810102 18:30,-9999,2.77,-9999,1.61
19810102 18:45,-9999,2.77,-9999,1.61
19810102 19:00,-9999,2.77,-9999,1.61
19810102 19:15,-9999,2.77,-9999,1.61
19810102 19:30,-9999,2.77,-9999,1.61
19810102 19:45,-9999,2.77,-9999,1.61
19810102 20:00,-9999,2.77,-9999,1.61
19810102 20:15,-9999,2.77,-9999,1.61
19810102 20:30,-9999,2.77,-9999,1.61
19810102 20:45,-9999,2.77,-9999,1.61
19810102 21:00,-9999,2.77,-9999,1.61
19810102 21:15,-9999,2.77,-9999,1.61
19810102 21:30,-9999,2.77,-9999,1.61
19810102 21:45,-9999,2.77,-9999,1.61
19810102 22:00,-9999,2.77,-9999,1.61
19810102 22:15,-9999,2.77,-9999,1.61
19810102 22:30,-9999,2.77,-9999,1.61
19810102 22:45,-9999,2.77,-9999,1.61
19810102 23:00,-9999,2.77,-9999,1.61
19810102 23:15,-9999,2.77,-9999,1.61
19810102 23:30,-9999,2.77,-9999,1.61
19810102 23:45,-9999,2.77,-9999,1.61
19810103  0:00,-9999,2.77,-9999,1.61
19810103  0:15,-9999,2.77,-9999,1.61
19810103  0:30,-9999,2.77,-9999,1.61
19810103  0:45,-9999,2.77,-9999,1.61
19810103  1:00,2.76,-9999,1.55,-9999
19810103  1:15,-9999,2.76,-9999,1.55
19810103  1:30,-9999,2.76,-9999,1.55
19810103  1:45,-9999,2.76,-9999,1.55
19810103  2:00,2.75,-9999,1.49,-9999
19810103  2:15,-9999,2.75,-9999,1.49
19810103  2:30,-9999,2.75,-9999,1.49
19810103  2:45,-9999,2.75,-9999,1.49
19810103  3:00,-9999,2.75,-9999,1.49
19810103  3:15,-9999,2.75,-9999,1.49
19810103  3:30,-9999,2.75,-9999,1.49
19810103  3:45,-9999,2.75,-9999,1.49
19810103  4:00,-9999,2.75,-9999,1.49
19810103  4:15,-9999,2.75,-9999,1.49
19810103  4:30,-9999,2.75,-9999,1.49
19810103  4:45,-9999,2.75,-9999,1.49
19810103  5:00,2.76,-9999,1.55,-9999
19810103  5:15,-9999,2.76,-9999,1.55
19810103  5:30,-9999,2.76,-9999,1.55
19810103  5:45,-9999,2.76,-9999,1.55
19810103  6:00,-9999,2.76,-9999,1.55
19810103  6:15,-9999,2.76,-9999,1.55
19810103  6:30,-9999,2.76,-9999,1.55
19810103  6:45,-9999,2.76,-9999,1.55
19810103  7:00,-9999,2.76,-9999,1.55
19810103  7:15,-9999,2.76,-9999,1.55
19810103  7:30,-9999,2.76,-9999,1.55
19810103  7:45,-9999,2.76,-9999,1.55
19810103  8:00,-9999,2.76,-9999,1.55
19810103  8:15,-9999,2.76,-9999,1.55
19810103  8:30,-9999,2.76,-9999,1.55
19810103  8:45,-9999,2.76,-9999,1.55
19810103  9:00,-9999,2.76,-9999,1.55
19810103  9:15,-9999,2.76,-9999,1.55
19810103  9:30,-9999,2.76,-9999,1.55
19810103  9:45,-9999,2.76,-9999,1.55
19810103 10:00,-9999,2.76,-9999,1.55
19810103 10:15,-9999,2.76,-9999,1.55
19810103 10:30,-9999,2.76,-9999,1.55
19810103 10:45,-9999,2.76,-9999,1.55
19810103 11:00,-9999,2.76,-9999,1.55
19810103 11:15,-9999,2.76,-9999,1.55
19810103 11:30,-9999,2.76,-9999,1.55
19810103 11:45,-9999,2.76,-9999,1.55
19810103 12:00,-9999,2.76,-9999,1.55
19810103 12:15,-9999,2.76,-9999,1.55
19810103 12:30,-9999,2.76,-9999,1.55
19810103 12:45,-9999,2.76,-9999,1.55
19810103 13:00,-9999,2.76,-9999,1.55
19810103 13:15,-9999,2.76,-9999,1.55
