Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20010101  0:05,3.087,-9999,1.99,-9999
20010101  0:20,3.087,-9999,1.99,-9999
20010101  0:35,3.087,-9999,1.99,-9999
20010101  0:50,3.091,-9999,2.05,-9999
20010101  1:05,3.091,-9999,2.05,-9999
20010101  1:20,3.087,-9999,1.99,-9999
20010101  1:35,3.087,-9999,1.99,-9999
20010101  1:50,3.091,-9999,2.05,-9999
20010101  2:05,3.091,-9999,2.05,-9999
20010101  2:20,3.087,-9999,1.99,-9999
20010101  2:35,3.087,-9999,1.99,-9999
20010101  2:50,3.087,-9999,1.99,-9999
20010101  3:05,3.087,-9999,1.99,-9999
20010101  3:20,3.087,-9999,1.99,-9999
20010101  3:35,3.087,-9999,1.99,-9999
20010101  3:50,3.087,-9999,1.99,-9999
20010101  4:05,3.087,-9999,1.99,-9999
20010101  4:20,3.087,-9999,1.99,-9999
20010101  4:35,3.087,-9999,1.99,-9999
20010101  4:50,3.087,-9999,1.99,-9999
20010101  5:05,3.087,-9999,1.99,-9999
20010101  5:20,3.087,-9999,1.99,-9999
20010101  5:35,3.087,-9999,1.99,-9999
20010101  5:50,3.087,-9999,1.99,-9999
20010101  6:05,3.087,-9999,1.99,-9999
20010101  6:20,3.087,-9999,1.99,-9999
20010101  6:35,3.087,-9999,1.99,-9999
20010101  6:50,3.087,-9999,1.99,-9999
20010101  7:05,3.087,-9999,1.99,-9999
20010101  7:20,3.087,-9999,1.99,-9999
20010101  7:35,3.087,-9999,1.99,-9999
20010101  7:50,3.087,-9999,1.99,-9999
20010101  8:05,3.087,-9999,1.99,-9999
20010101  8:20,3.087,-9999,1.99,-9999
20010101  8:35,3.087,-9999,1.99,-9999
20010101  8:50,3.087,-9999,1.99,-9999
20010101  9:05,3.087,-9999,1.99,-9999
20010101  9:20,3.087,-9999,1.99,-9999
20010101  9:35,3.082,-9999,1.94,-9999
20010101  9:50,3.091,-9999,2.05,-9999
20010101 10:05,3.082,-9999,1.94,-9999
20010101 10:20,3.091,-9999,2.05,-9999
20010101 10:35,3.087,-9999,1.99,-9999
20010101 10:50,3.087,-9999,1.99,-9999
20010101 11:05,3.082,-9999,1.94,-9999
20010101 11:20,3.082,-9999,1.94,-9999
20010101 11:35,3.082,-9999,1.94,-9999
20010101 11:50,3.087,-9999,1.99,-9999
20010101 12:05,3.087,-9999,1.99,-9999
20010101 12:20,3.087,-9999,1.99,-9999
20010101 12:35,3.087,-9999,1.99,-9999
20010101 12:50,3.082,-9999,1.94,-9999
20010101 13:05,3.087,-9999,1.99,-9999
20010101 13:20,3.087,-9999,1.99,-9999
20010101 13:35,3.082,-9999,1.94,-9999
20010101 13:50,3.087,-9999,1.99,-9999
20010101 14:05,3.087,-9999,1.99,-9999
20010101 14:20,3.087,-9999,1.99,-9999
20010101 14:35,3.087,-9999,1.99,-9999
20010101 14:50,3.087,-9999,1.99,-9999
20010101 15:05,3.087,-9999,1.99,-9999
20010101 15:20,3.087,-9999,1.99,-9999
20010101 15:35,3.087,-9999,1.99,-9999
20010101 15:50,3.087,-9999,1.99,-9999
20010101 16:05,3.082,-9999,1.94,-9999
20010101 16:20,3.082,-9999,1.94,-9999
20010101 16:35,3.087,-9999,1.99,-9999
20010101 16:50,3.087,-9999,1.99,-9999
20010101 17:05,3.087,-9999,1.99,-9999
20010101 17:20,3.087,-9999,1.99,-9999
20010101 17:35,3.082,-9999,1.94,-9999
20010101 17:50,3.087,-9999,1.99,-9999
20010101 18:05,3.087,-9999,1.99,-9999
20010101 18:20,3.082,-9999,1.94,-9999
20010101 18:35,3.082,-9999,1.94,-9999
20010101 18:50,3.082,-9999,1.94,-9999
20010101 19:05,3.087,-9999,1.99,-9999
20010101 19:20,3.082,-9999,1.94,-9999
20010101 19:35,3.087,-9999,1.99,-9999
20010101 19:50,3.082,-9999,1.94,-9999
20010101 20:05,3.082,-9999,1.94,-9999
20010101 20:20,3.078,-9999,1.89,-9999
20010101 20:35,3.078,-9999,1.89,-9999
20010101 20:50,3.078,-9999,1.89,-9999
20010101 21:05,3.087,-9999,1.99,-9999
20010101 21:20,3.082,-9999,1.94,-9999
20010101 21:35,3.087,-9999,1.99,-9999
20010101 21:50,3.082,-9999,1.94,-9999
20010101 22:05,3.082,-9999,1.94,-9999
20010101 22:20,3.087,-9999,1.99,-9999
20010101 22:35,3.082,-9999,1.94,-9999
20010101 22:50,3.087,-9999,1.99,-9999
20010101 23:05,3.087,-9999,1.99,-9999
20010101 23:20,3.082,-9999,1.94,-9999
20010101 23:35,3.087,-9999,1.99,-9999
20010101 23:50,3.082,-9999,1.94,-9999
20010102  0:05,3.082,-9999,1.94,-9999
20010102  0:20,3.091,-9999,2.05,-9999
20010102  0:35,3.091,-9999,2.05,-9999
20010102  0:50,3.091,-9999,2.05,-9999
20010102  1:05,3.082,-9999,1.94,-9999
20010102  1:20,3.091,-9999,2.05,-9999
20010102  1:35,3.091,-9999,2.05,-9999
20010102  1:50,3.087,-9999,1.99,-9999
20010102  2:05,3.091,-9999,2.05,-9999
20010102  2:20,3.087,-9999,1.99,-9999
20010102  2:35,3.082,-9999,1.94,-9999
20010102  2:50,3.087,-9999,1.99,-9999
20010102  3:05,3.087,-9999,1.99,-9999
20010102  3:20,3.082,-9999,1.94,-9999
20010102  3:35,3.087,-9999,1.99,-9999
20010102  3:50,3.087,-9999,1.99,-9999
20010102  4:05,3.087,-9999,1.99,-9999
20010102  4:20,3.082,-9999,1.94,-9999
20010102  4:35,3.082,-9999,1.94,-9999
20010102  4:50,3.082,-9999,1.94,-9999
20010102  5:05,3.082,-9999,1.94,-9999
20010102  5:20,3.082,-9999,1.94,-9999
20010102  5:35,3.087,-9999,1.99,-9999
20010102  5:50,3.087,-9999,1.99,-9999
20010102  6:05,3.087,-9999,1.99,-9999
20010102  6:20,3.087,-9999,1.99,-9999
20010102  6:35,3.087,-9999,1.99,-9999
20010102  6:50,3.087,-9999,1.99,-9999
20010102  7:05,3.087,-9999,1.99,-9999
20010102  7:20,3.087,-9999,1.99,-9999
20010102  7:35,3.087,-9999,1.99,-9999
20010102  7:50,3.087,-9999,1.99,-9999
20010102  8:05,3.087,-9999,1.99,-9999
20010102  8:20,3.087,-9999,1.99,-9999
20010102  8:35,3.087,-9999,1.99,-9999
20010102  8:50,3.082,-9999,1.94,-9999
20010102  9:05,3.082,-9999,1.94,-9999
20010102  9:20,3.087,-9999,1.99,-9999
20010102  9:35,3.082,-9999,1.94,-9999
20010102  9:50,3.087,-9999,1.99,-9999
20010102 10:05,3.087,-9999,1.99,-9999
20010102 10:20,3.082,-9999,1.94,-9999
20010102 10:35,3.087,-9999,1.99,-9999
20010102 10:50,3.087,-9999,1.99,-9999
20010102 11:05,3.087,-9999,1.99,-9999
20010102 11:20,3.087,-9999,1.99,-9999
20010102 11:35,3.082,-9999,1.94,-9999
20010102 11:50,3.087,-9999,1.99,-9999
20010102 12:05,3.087,-9999,1.99,-9999
20010102 12:20,3.087,-9999,1.99,-9999
20010102 12:35,3.082,-9999,1.94,-9999
20010102 12:50,3.087,-9999,1.99,-9999
20010102 13:05,3.087,-9999,1.99,-9999
20010102 13:20,3.082,-9999,1.94,-9999
