Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19730101  0:00,-9999,2.85,-9999,5.7
19730101  0:15,-9999,2.85,-9999,5.7
19730101  0:30,-9999,2.85,-9999,5.7
19730101  0:45,-9999,2.85,-9999,5.7
19730101  1:00,2.85,-9999,4.55,-9999
19730101  1:15,-9999,2.85,-9999,4.55
19730101  1:30,-9999,2.85,-9999,4.55
19730101  1:45,-9999,2.85,-9999,4.55
19730101  2:00,-9999,2.85,-9999,4.55
19730101  2:15,-9999,2.85,-9999,4.55
19730101  2:30,-9999,2.85,-9999,4.55
19730101  2:45,-9999,2.85,-9999,4.55
19730101  3:00,-9999,2.85,-9999,4.55
19730101  3:15,-9999,2.85,-9999,4.55
19730101  3:30,-9999,2.85,-9999,4.55
19730101  3:45,-9999,2.85,-9999,4.55
19730101  4:00,-9999,2.85,-9999,4.55
19730101  4:15,-9999,2.85,-9999,4.55
19730101  4:30,-9999,2.85,-9999,4.55
19730101  4:45,-9999,2.85,-9999,4.55
19730101  5:00,-9999,2.85,-9999,4.55
19730101  5:15,-9999,2.85,-9999,4.55
19730101  5:30,-9999,2.85,-9999,4.55
19730101  5:45,-9999,2.85,-9999,4.55
19730101  6:00,-9999,2.85,-9999,4.55
19730101  6:15,-9999,2.85,-9999,4.55
19730101  6:30,-9999,2.85,-9999,4.55
19730101  6:45,-9999,2.85,-9999,4.55
19730101  7:00,-9999,2.85,-9999,4.55
19730101  7:15,-9999,2.85,-9999,4.55
19730101  7:30,-9999,2.85,-9999,4.55
19730101  7:45,-9999,2.85,-9999,4.55
19730101  8:00,-9999,2.85,-9999,4.55
19730101  8:15,-9999,2.85,-9999,4.55
19730101  8:30,-9999,2.85,-9999,4.55
19730101  8:45,-9999,2.85,-9999,4.55
19730101  9:00,-9999,2.85,-9999,4.55
19730101  9:15,-9999,2.85,-9999,4.55
19730101  9:30,-9999,2.85,-9999,4.55
19730101  9:45,-9999,2.85,-9999,4.55
19730101 10:00,-9999,2.85,-9999,4.55
19730101 10:15,-9999,2.85,-9999,4.55
19730101 10:30,-9999,2.85,-9999,4.55
19730101 10:45,-9999,2.85,-9999,4.55
19730101 11:00,-9999,2.85,-9999,4.55
19730101 11:15,-9999,2.85,-9999,4.55
19730101 11:30,-9999,2.85,-9999,4.55
19730101 11:45,-9999,2.85,-9999,4.55
19730101 12:00,-9999,2.85,-9999,4.55
19730101 12:15,-9999,2.85,-9999,4.55
19730101 12:30,-9999,2.85,-9999,4.55
19730101 12:45,-9999,2.85,-9999,4.55
19730101 13:00,-9999,2.85,-9999,4.55
19730101 13:15,-9999,2.85,-9999,4.55
19730101 13:30,-9999,2.85,-9999,4.55
19730101 13:45,-9999,2.85,-9999,4.55
19730101 14:00,-9999,2.85,-9999,4.55
19730101 14:15,-9999,2.85,-9999,4.55
19730101 14:30,-9999,2.85,-9999,4.55
19730101 14:45,-9999,2.85,-9999,4.55
19730101 15:00,-9999,2.85,-9999,4.55
19730101 15:15,-9999,2.85,-9999,4.55
19730101 15:30,-9999,2.85,-9999,4.55
19730101 15:45,-9999,2.85,-9999,4.55
19730101 16:00,-9999,2.85,-9999,4.55
19730101 16:15,-9999,2.85,-9999,4.55
19730101 16:30,-9999,2.85,-9999,4.55
19730101 16:45,-9999,2.85,-9999,4.55
19730101 17:00,-9999,2.85,-9999,4.55
19730101 17:15,-9999,2.85,-9999,4.55
19730101 17:30,-9999,2.85,-9999,4.55
19730101 17:45,-9999,2.85,-9999,4.55
19730101 18:00,-9999,2.85,-9999,4.55
19730101 18:15,-9999,2.85,-9999,4.55
19730101 18:30,-9999,2.85,-9999,4.55
19730101 18:45,-9999,2.85,-9999,4.55
19730101 19:00,-9999,2.85,-9999,4.55
19730101 19:15,-9999,2.85,-9999,4.55
19730101 19:30,-9999,2.85,-9999,4.55
19730101 19:45,-9999,2.85,-9999,4.55
19730101 20:00,-9999,2.85,-9999,4.55
19730101 20:15,-9999,2.85,-9999,4.55
19730101 20:30,-9999,2.85,-9999,4.55
19730101 20:45,-9999,2.85,-9999,4.55
19730101 21:00,-9999,2.85,-9999,4.55
19730101 21:15,-9999,2.85,-9999,4.55
19730101 21:30,-9999,2.85,-9999,4.55
19730101 21:45,-9999,2.85,-9999,4.55
19730101 22:00,-9999,2.85,-9999,4.55
19730101 22:15,-9999,2.85,-9999,4.55
19730101 22:30,-9999,2.85,-9999,4.55
19730101 22:45,-9999,2.85,-9999,4.55
19730101 23:00,-9999,2.85,-9999,4.55
19730101 23:15,-9999,2.85,-9999,4.55
19730101 23:30,-9999,2.85,-9999,4.55
19730101 23:45,-9999,2.85,-9999,4.55
19730102  0:00,2.85,-9999,4.55,-9999
19730102  0:15,-9999,2.85,-9999,4.55
19730102  0:30,-9999,2.85,-9999,4.55
19730102  0:45,-9999,2.85,-9999,4.55
19730102  1:00,2.85,-9999,4.55,-9999
19730102  1:15,-9999,2.85,-9999,4.55
19730102  1:30,-9999,2.85,-9999,4.55
19730102  1:45,-9999,2.85,-9999,4.55
19730102  2:00,-9999,2.85,-9999,4.55
19730102  2:15,-9999,2.85,-9999,4.55
19730102  2:30,-9999,2.85,-9999,4.55
19730102  2:45,-9999,2.85,-9999,4.55
19730102  3:00,-9999,2.85,-9999,4.55
19730102  3:15,-9999,2.85,-9999,4.55
19730102  3:30,-9999,2.85,-9999,4.55
19730102  3:45,-9999,2.85,-9999,4.55
19730102  4:00,-9999,2.85,-9999,4.55
19730102  4:15,-9999,2.85,-9999,4.55
19730102  4:30,-9999,2.85,-9999,4.55
19730102  4:45,-9999,2.85,-9999,4.55
19730102  5:00,-9999,2.85,-9999,4.55
19730102  5:15,-9999,2.85,-9999,4.55
19730102  5:30,-9999,2.85,-9999,4.55
19730102  5:45,-9999,2.85,-9999,4.55
19730102  6:00,-9999,2.85,-9999,4.55
19730102  6:15,-9999,2.85,-9999,4.55
19730102  6:30,-9999,2.85,-9999,4.55
19730102  6:45,-9999,2.85,-9999,4.55
19730102  7:00,-9999,2.85,-9999,4.55
19730102  7:15,-9999,2.85,-9999,4.55
19730102  7:30,-9999,2.85,-9999,4.55
19730102  7:45,-9999,2.85,-9999,4.55
19730102  8:00,-9999,2.85,-9999,4.55
19730102  8:15,-9999,2.85,-9999,4.55
19730102  8:30,-9999,2.85,-9999,4.55
19730102  8:45,-9999,2.85,-9999,4.55
19730102  9:00,-9999,2.85,-9999,4.55
19730102  9:15,-9999,2.85,-9999,4.55
19730102  9:30,-9999,2.85,-9999,4.55
19730102  9:45,-9999,2.85,-9999,4.55
19730102 10:00,-9999,2.85,-9999,4.55
19730102 10:15,-9999,2.85,-9999,4.55
19730102 10:30,-9999,2.85,-9999,4.55
19730102 10:45,-9999,2.85,-9999,4.55
19730102 11:00,-9999,2.85,-9999,4.55
19730102 11:15,-9999,2.85,-9999,4.55
19730102 11:30,-9999,2.85,-9999,4.55
19730102 11:45,-9999,2.85,-9999,4.55
19730102 12:00,-9999,2.85,-9999,4.55
19730102 12:15,-9999,2.85,-9999,4.55
19730102 12:30,-9999,2.85,-9999,4.55
19730102 12:45,-9999,2.85,-9999,4.55
19730102 13:00,-9999,2.85,-9999,4.55
19730102 13:15,-9999,2.85,-9999,4.55
19730102 13:30,-9999,2.85,-9999,4.55
19730102 13:45,-9999,2.85,-9999,4.55
19730102 14:00,-9999,2.85,-9999,4.55
19730102 14:15,-9999,2.85,-9999,4.55
19730102 14:30,-9999,2.85,-9999,4.55
19730102 14:45,-9999,2.85,-9999,4.55
19730102 15:00,-9999,2.85,-9999,4.55
19730102 15:15,-9999,2.85,-9999,4.55
19730102 15:30,-9999,2.85,-9999,4.55
19730102 15:45,-9999,2.85,-9999,4.55
19730102 16:00,-9999,2.85,-9999,4.55
19730102 16:15,-9999,2.85,-9999,4.55
19730102 16:30,-9999,2.85,-9999,4.55
19730102 16:45,-9999,2.85,-9999,4.55
19730102 17:00,-9999,2.85,-9999,4.55
19730102 17:15,-9999,2.85,-9999,4.55
19730102 17:30,-9999,2.85,-9999,4.55
19730102 17:45,-9999,2.85,-9999,4.55
19730102 18:00,-9999,2.85,-9999,4.55
19730102 18:15,-9999,2.85,-9999,4.55
19730102 18:30,-9999,2.85,-9999,4.55
19730102 18:45,-9999,2.85,-9999,4.55
19730102 19:00,-9999,2.85,-9999,4.55
19730102 19:15,-9999,2.85,-9999,4.55
19730102 19:30,-9999,2.85,-9999,4.55
19730102 19:45,-9999,2.85,-9999,4.55
19730102 20:00,-9999,2.85,-9999,4.55
19730102 20:15,-9999,2.85,-9999,4.55
19730102 20:30,-9999,2.85,-9999,4.55
19730102 20:45,-9999,2.85,-9999,4.55
19730102 21:00,-9999,2.85,-9999,4.55
19730102 21:15,-9999,2.85,-9999,4.55
19730102 21:30,-9999,2.85,-9999,4.55
19730102 21:45,-9999,2.85,-9999,4.55
19730102 22:00,-9999,2.85,-9999,4.55
19730102 22:15,-9999,2.85,-9999,4.55
19730102 22:30,-9999,2.85,-9999,4.55
19730102 22:45,-9999,2.85,-9999,4.55
19730102 23:00,-9999,2.85,-9999,4.55
19730102 23:15,-9999,2.85,-9999,4.55
19730102 23:30,-9999,2.85,-9999,4.55
19730102 23:45,-9999,2.85,-9999,4.55
19730103  0:00,2.84,-9999,4.3,-9999
19730103  0:15,-9999,2.84,-9999,4.3
19730103  0:30,-9999,2.84,-9999,4.3
19730103  0:45,-9999,2.84,-9999,4.3
19730103  1:00,2.84,-9999,4.3,-9999
19730103  1:15,-9999,2.84,-9999,4.3
19730103  1:30,-9999,2.84,-9999,4.3
19730103  1:45,-9999,2.84,-9999,4.3
19730103  2:00,-9999,2.84,-9999,4.3
19730103  2:15,-9999,2.84,-9999,4.3
19730103  2:30,-9999,2.84,-9999,4.3
19730103  2:45,-9999,2.84,-9999,4.3
19730103  3:00,-9999,2.84,-9999,4.3
19730103  3:15,-9999,2.84,-9999,4.3
19730103  3:30,-9999,2.84,-9999,4.3
19730103  3:45,-9999,2.84,-9999,4.3
19730103  4:00,-9999,2.84,-9999,4.3
19730103  4:15,-9999,2.84,-9999,4.3
19730103  4:30,-9999,2.84,-9999,4.3
19730103  4:45,-9999,2.84,-9999,4.3
19730103  5:00,-9999,2.84,-9999,4.3
19730103  5:15,-9999,2.84,-9999,4.3
19730103  5:30,-9999,2.84,-9999,4.3
19730103  5:45,-9999,2.84,-9999,4.3
19730103  6:00,-9999,2.84,-9999,4.3
19730103  6:15,-9999,2.84,-9999,4.3
19730103  6:30,-9999,2.84,-9999,4.3
19730103  6:45,-9999,2.84,-9999,4.3
19730103  7:00,-9999,2.84,-9999,4.3
19730103  7:15,-9999,2.84,-9999,4.3
19730103  7:30,-9999,2.84,-9999,4.3
19730103  7:45,-9999,2.84,-9999,4.3
19730103  8:00,-9999,2.84,-9999,4.3
19730103  8:15,-9999,2.84,-9999,4.3
19730103  8:30,-9999,2.84,-9999,4.3
19730103  8:45,-9999,2.84,-9999,4.3
19730103  9:00,-9999,2.84,-9999,4.3
19730103  9:15,-9999,2.84,-9999,4.3
19730103  9:30,-9999,2.84,-9999,4.3
19730103  9:45,-9999,2.84,-9999,4.3
19730103 10:00,-9999,2.84,-9999,4.3
19730103 10:15,-9999,2.84,-9999,4.3
19730103 10:30,-9999,2.84,-9999,4.3
19730103 10:45,-9999,2.84,-9999,4.3
19730103 11:00,-9999,2.84,-9999,4.3
19730103 11:15,-9999,2.84,-9999,4.3
19730103 11:30,-9999,2.84,-9999,4.3
19730103 11:45,-9999,2.84,-9999,4.3
19730103 12:00,-9999,2.84,-9999,4.3
19730103 12:15,-9999,2.84,-9999,4.3
19730103 12:30,-9999,2.84,-9999,4.3
19730103 12:45,-9999,2.84,-9999,4.3
19730103 13:00,-9999,2.84,-9999,4.3
19730103 13:15,-9999,2.84,-9999,4.3
19730103 13:30,-9999,2.84,-9999,4.3
19730103 13:45,-9999,2.84,-9999,4.3
19730103 14:00,-9999,2.84,-9999,4.3
19730103 14:15,-9999,2.84,-9999,4.3
19730103 14:30,-9999,2.84,-9999,4.3
19730103 14:45,-9999,2.84,-9999,4.3
19730103 15:00,-9999,2.84,-9999,4.3
19730103 15:15,-9999,2.84,-9999,4.3
19730103 15:30,-9999,2.84,-9999,4.3
19730103 15:45,-9999,2.84,-9999,4.3
19730103 16:00,-9999,2.84,-9999,4.3
19730103 16:15,-9999,2.84,-9999,4.3
19730103 16:30,-9999,2.84,-9999,4.3
19730103 16:45,-9999,2.84,-9999,4.3
19730103 17:00,-9999,2.84,-9999,4.3
19730103 17:15,-9999,2.84,-9999,4.3
19730103 17:30,-9999,2.84,-9999,4.3
19730103 17:45,-9999,2.84,-9999,4.3
19730103 18:00,-9999,2.84,-9999,4.3
19730103 18:15,-9999,2.84,-9999,4.3
19730103 18:30,-9999,2.84,-9999,4.3
19730103 18:45,-9999,2.84,-9999,4.3
19730103 19:00,-9999,2.84,-9999,4.3
19730103 19:15,-9999,2.84,-9999,4.3
19730103 19:30,-9999,2.84,-9999,4.3
19730103 19:45,-9999,2.84,-9999,4.3
19730103 20:00,2.85,-9999,4.55,-9999
19730103 20:15,-9999,2.85,-9999,4.55
19730103 20:30,-9999,2.85,-9999,4.55
19730103 20:45,-9999,2.85,-9999,4.55
19730103 21:00,2.86,-9999,4.75,-9999
19730103 21:15,-9999,2.86,-9999,4.75
19730103 21:30,-9999,2.86,-9999,4.75
19730103 21:45,-9999,2.86,-9999,4.75
19730103 22:00,2.9,-9999,6.3,-9999
19730103 22:15,-9999,2.9,-9999,6.3
19730103 22:30,-9999,2.9,-9999,6.3
19730103 22:45,-9999,2.9,-9999,6.3
19730103 23:00,2.96,-9999,9,-9999
19730103 23:15,-9999,2.96,-9999,9
19730103 23:30,-9999,2.96,-9999,9
19730103 23:45,-9999,2.96,-9999,9
19730104  0:00,3.05,-9999,15.1,-9999
19730104  0:15,-9999,3.05,-9999,15.1
19730104  0:30,-9999,3.05,-9999,15.1
19730104  0:45,-9999,3.05,-9999,15.1
19730104  1:00,3.15,-9999,23.2,-9999
19730104  1:15,-9999,3.15,-9999,23.2
19730104  1:30,-9999,3.15,-9999,23.2
19730104  1:45,-9999,3.15,-9999,23.2
19730104  2:00,3.24,-9999,32,-9999
19730104  2:15,-9999,3.24,-9999,32
19730104  2:30,-9999,3.24,-9999,32
19730104  2:45,-9999,3.24,-9999,32
19730104  3:00,3.26,-9999,34,-9999
19730104  3:15,-9999,3.26,-9999,34
19730104  3:30,-9999,3.26,-9999,34
19730104  3:45,-9999,3.26,-9999,34
19730104  4:00,3.17,-9999,24.9,-9999
19730104  4:15,-9999,3.17,-9999,24.9
19730104  4:30,-9999,3.17,-9999,24.9
19730104  4:45,-9999,3.17,-9999,24.9
19730104  5:00,3.13,-9999,21.6,-9999
19730104  5:15,-9999,3.13,-9999,21.6
19730104  5:30,-9999,3.13,-9999,21.6
19730104  5:45,-9999,3.13,-9999,21.6
19730104  6:00,3.08,-9999,17.7,-9999
19730104  6:15,-9999,3.08,-9999,17.7
19730104  6:30,-9999,3.08,-9999,17.7
19730104  6:45,-9999,3.08,-9999,17.7
19730104  7:00,3.03,-9999,13.5,-9999
19730104  7:15,-9999,3.03,-9999,13.5
19730104  7:30,-9999,3.03,-9999,13.5
19730104  7:45,-9999,3.03,-9999,13.5
19730104  8:00,3,-9999,11.7,-9999
19730104  8:15,-9999,3,-9999,11.7
19730104  8:30,-9999,3,-9999,11.7
19730104  8:45,-9999,3,-9999,11.7
19730104  9:00,2.96,-9999,9,-9999
