Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20090101  0:10,3.082,-9999,2.15,-9999
20090101  0:25,3.083,-9999,2.16,-9999
20090101  0:40,3.083,-9999,2.16,-9999
20090101  0:55,3.082,-9999,2.15,-9999
20090101  1:10,3.081,-9999,2.13,-9999
20090101  1:25,3.082,-9999,2.15,-9999
20090101  1:40,3.081,-9999,2.14,-9999
20090101  1:55,3.081,-9999,2.14,-9999
20090101  2:10,3.082,-9999,2.14,-9999
20090101  2:25,3.081,-9999,2.14,-9999
20090101  2:40,3.082,-9999,2.14,-9999
20090101  2:55,3.082,-9999,2.15,-9999
20090101  3:10,3.082,-9999,2.14,-9999
20090101  3:25,3.081,-9999,2.13,-9999
20090101  3:40,3.081,-9999,2.13,-9999
20090101  3:55,3.082,-9999,2.15,-9999
20090101  4:10,3.082,-9999,2.14,-9999
20090101  4:25,3.082,-9999,2.15,-9999
20090101  4:40,3.081,-9999,2.13,-9999
20090101  4:55,3.081,-9999,2.14,-9999
20090101  5:10,3.082,-9999,2.15,-9999
20090101  5:25,3.082,-9999,2.14,-9999
20090101  5:40,3.082,-9999,2.15,-9999
20090101  5:55,3.082,-9999,2.15,-9999
20090101  6:10,3.084,-9999,2.17,-9999
20090101  6:25,3.083,-9999,2.16,-9999
20090101  6:40,3.084,-9999,2.17,-9999
20090101  6:55,3.083,-9999,2.16,-9999
20090101  7:10,3.083,-9999,2.16,-9999
20090101  7:25,3.081,-9999,2.14,-9999
20090101  7:40,3.083,-9999,2.16,-9999
20090101  7:55,3.081,-9999,2.13,-9999
20090101  8:10,3.081,-9999,2.14,-9999
20090101  8:25,3.079,-9999,2.11,-9999
20090101  8:40,3.079,-9999,2.11,-9999
20090101  8:55,3.078,-9999,2.09,-9999
20090101  9:10,3.076,-9999,2.07,-9999
20090101  9:25,3.073,-9999,2.04,-9999
20090101  9:40,3.076,-9999,2.07,-9999
20090101  9:55,3.075,-9999,2.06,-9999
20090101 10:10,3.075,-9999,2.06,-9999
20090101 10:25,3.077,-9999,2.08,-9999
20090101 10:40,3.076,-9999,2.07,-9999
20090101 10:55,3.076,-9999,2.07,-9999
20090101 11:10,3.074,-9999,2.05,-9999
20090101 11:25,3.075,-9999,2.05,-9999
20090101 11:40,3.073,-9999,2.03,-9999
20090101 11:55,3.073,-9999,2.04,-9999
