Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19820101  0:00,2.78,-9999,2.64,-9999
19820101  0:15,-9999,2.78,-9999,2.64
19820101  0:30,-9999,2.78,-9999,2.64
19820101  0:45,-9999,2.78,-9999,2.64
19820101  1:00,2.79,-9999,2.73,-9999
19820101  1:15,-9999,2.79,-9999,2.73
19820101  1:30,-9999,2.79,-9999,2.73
19820101  1:45,-9999,2.79,-9999,2.73
19820101  2:00,2.81,-9999,2.93,-9999
19820101  2:15,-9999,2.81,-9999,2.93
19820101  2:30,-9999,2.81,-9999,2.93
19820101  2:45,-9999,2.81,-9999,2.93
19820101  3:00,2.82,-9999,3.04,-9999
19820101  3:15,-9999,2.82,-9999,3.04
19820101  3:30,-9999,2.82,-9999,3.04
19820101  3:45,-9999,2.82,-9999,3.04
19820101  4:00,2.83,-9999,3.15,-9999
19820101  4:15,-9999,2.83,-9999,3.15
19820101  4:30,-9999,2.83,-9999,3.15
19820101  4:45,-9999,2.83,-9999,3.15
19820101  5:00,-9999,2.83,-9999,3.15
19820101  5:15,-9999,2.83,-9999,3.15
19820101  5:30,-9999,2.83,-9999,3.15
19820101  5:45,-9999,2.83,-9999,3.15
19820101  6:00,2.84,-9999,3.26,-9999
19820101  6:15,-9999,2.84,-9999,3.26
19820101  6:30,-9999,2.84,-9999,3.26
19820101  6:45,-9999,2.84,-9999,3.26
19820101  7:00,2.86,-9999,3.49,-9999
19820101  7:15,-9999,2.86,-9999,3.49
19820101  7:30,-9999,2.86,-9999,3.49
19820101  7:45,-9999,2.86,-9999,3.49
19820101  8:00,-9999,2.86,-9999,3.49
19820101  8:15,-9999,2.86,-9999,3.49
19820101  8:30,-9999,2.86,-9999,3.49
19820101  8:45,-9999,2.86,-9999,3.49
19820101  9:00,-9999,2.86,-9999,3.49
19820101  9:15,-9999,2.86,-9999,3.49
19820101  9:30,-9999,2.86,-9999,3.49
19820101  9:45,-9999,2.86,-9999,3.49
